#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	28.50	0.501	51.99
0.751	28.50	1.002	51.99
1.252	28.50	1.503	51.99
1.752	28.39	2.003	51.99
2.253	28.50	2.504	51.99
2.754	28.39	3.005	51.99
3.255	28.39	3.505	51.84
3.755	28.39	4.005	51.99
4.256	28.39	4.506	51.99
4.757	28.39	5.007	51.99
5.258	28.29	5.507	51.99
5.758	28.29	6.008	51.84
6.259	28.39	6.509	51.99
6.760	28.29	7.010	51.84
7.260	28.29	7.510	51.99
7.761	28.29	8.011	51.99
8.262	28.18	8.512	51.84
8.763	28.29	9.013	51.84
9.263	28.18	9.513	51.99
9.764	28.18	10.014	51.99
10.265	28.18	10.515	51.99
10.765	28.18	11.015	51.99
11.265	28.29	11.516	52.14
11.766	28.18	12.017	51.99
12.267	28.18	12.518	51.84
12.768	28.08	13.018	51.84
13.268	28.08	13.519	51.84
13.769	28.08	14.020	51.84
14.270	28.08	14.521	51.84
14.770	28.08	15.021	51.84
15.271	28.18	15.522	51.84
15.772	28.08	16.023	51.99
16.273	28.08	16.523	51.99
16.773	28.08	17.023	51.99
17.274	28.08	17.524	51.84
17.775	28.08	18.025	51.99
18.276	28.08	18.526	51.99
18.776	27.97	19.026	51.99
19.277	27.97	19.527	51.99
19.778	27.97	20.028	51.84
20.279	27.97	20.528	51.84
20.779	27.97	21.029	51.99
21.280	27.86	21.530	51.99
21.781	27.97	22.031	51.99
22.282	27.97	22.531	52.14
22.781	27.86	23.032	51.99
23.282	27.86	23.533	51.99
23.783	27.86	24.034	51.99
24.283	27.86	24.534	51.99
24.784	27.86	25.035	51.99
25.285	27.86	25.536	51.99
