#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	31.42	0.501	30.33
0.750	31.42	1.001	30.33
1.251	31.53	1.502	30.22
1.752	31.42	2.003	30.33
2.253	31.53	2.504	30.22
2.753	31.53	3.004	30.33
3.254	31.53	3.505	30.22
3.755	31.53	4.006	30.22
4.256	31.53	4.507	30.22
4.756	31.64	5.006	30.22
5.257	31.53	5.507	30.22
5.758	31.53	6.008	30.22
6.259	31.53	6.508	30.22
6.759	31.53	7.009	30.22
7.260	31.53	7.510	30.22
7.761	31.53	8.011	30.22
8.262	31.53	8.511	30.22
8.762	31.53	9.012	30.22
9.263	31.53	9.513	30.22
9.764	31.53	10.014	30.22
10.264	31.53	10.514	30.33
10.764	31.64	11.015	30.22
11.265	31.53	11.516	30.22
11.766	31.53	12.017	30.22
12.266	31.53	12.517	30.22
12.767	31.64	13.018	30.22
13.268	31.53	13.519	30.22
13.769	31.64	14.019	30.22
14.269	31.53	14.520	30.22
14.770	31.64	15.021	30.22
15.271	31.64	15.522	30.22
15.772	31.53	16.022	30.22
16.272	31.53	16.523	30.22
16.773	31.64	17.023	30.22
17.274	31.53	17.524	30.22
17.774	31.53	18.024	30.11
18.275	31.53	18.525	30.22
18.776	31.53	19.026	30.22
19.277	31.53	19.527	30.22
19.777	31.53	20.027	30.22
20.278	31.53	20.528	30.22
20.779	31.53	21.029	30.11
21.280	31.53	21.529	30.22
21.780	31.53	22.030	30.11
22.281	31.53	22.531	30.22
22.781	31.53	23.032	30.11
