#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	38.12	0.501	36.60
0.751	38.12	1.001	36.60
1.251	38.12	1.501	36.48
1.752	38.00	2.002	36.48
2.253	38.00	2.503	36.48
2.754	38.12	3.003	36.48
3.254	38.24	3.504	36.36
3.755	38.12	4.005	36.48
4.256	38.12	4.506	36.48
4.756	38.12	5.006	36.48
5.257	38.12	5.507	36.48
5.758	38.12	6.008	36.48
6.259	38.12	6.509	36.48
6.759	38.00	7.009	36.48
7.260	38.12	7.510	36.48
7.761	38.12	8.011	36.48
8.261	38.12	8.511	36.48
8.761	38.12	9.012	36.48
9.262	38.12	9.513	36.48
9.763	38.12	10.014	36.48
10.264	38.12	10.514	36.36
10.764	38.00	11.015	36.36
11.265	38.12	11.516	36.48
11.766	38.12	12.017	36.48
12.267	38.12	12.517	36.36
12.767	38.12	13.018	36.36
13.268	38.00	13.519	36.48
13.769	38.00	14.020	36.36
14.269	38.00	14.519	36.36
14.770	38.00	15.020	36.36
15.271	38.00	15.521	36.36
15.772	38.00	16.022	36.36
16.272	38.00	16.522	36.36
16.773	38.00	17.023	36.36
17.274	38.00	17.524	36.36
17.775	38.00	18.024	36.36
18.275	38.00	18.525	36.36
18.776	38.00	19.026	36.36
19.277	38.00	19.527	36.36
19.778	37.88	20.027	36.36
20.278	37.88	20.528	36.48
20.778	37.88	21.029	36.36
21.279	38.00	21.530	36.36
21.779	38.00	22.030	36.36
22.280	38.00	22.531	36.36
22.781	38.00	23.032	36.36
23.282	38.00	23.533	36.36
23.782	38.00	24.033	36.36
24.283	38.00	24.534	36.36
24.784	38.00	25.035	36.36
25.285	38.00	25.535	36.48
25.785	38.00	26.036	36.48
26.286	38.00	26.537	36.48
26.787	38.00	27.037	36.36
27.288	38.00	27.537	36.36
27.788	38.00	28.038	36.36
28.289	38.00	28.539	36.36
28.790	38.12	29.040	36.48
29.291	38.12	29.540	36.48
29.791	38.00	30.041	36.36
30.292	38.00	30.542	36.48
30.793	38.12	31.043	36.48
31.293	38.12	31.543	36.48
31.794	38.12	32.044	36.48
32.295	38.12	32.545	36.48
32.795	38.12	33.046	36.48
33.295	38.12	33.546	36.48
33.796	38.00	34.047	36.48
34.297	38.00	34.548	36.48
34.798	38.12	35.048	36.48
35.298	38.12	35.549	36.48
35.799	38.12	36.050	36.60
36.300	38.12	36.551	36.48
36.801	38.00	37.051	36.48
37.301	38.00	37.552	36.60
37.802	38.12	38.053	36.60
38.303	38.12	38.554	36.48
38.803	38.00	39.053	36.48
39.304	38.00	39.554	36.48
39.805	38.00	40.055	36.48
40.306	38.00	40.556	36.36
40.806	38.00	41.056	36.36
41.307	37.88	41.557	36.48
41.808	38.00	42.058	36.36
42.309	38.12	42.558	36.48
42.809	38.00	43.059	36.48
43.310	38.00	43.560	36.48
43.811	37.88	44.061	36.48
44.312	38.00	44.561	36.48
44.812	38.00	45.062	36.36
45.312	38.00	45.563	36.36
45.813	38.00	46.064	36.36
46.313	38.00	46.564	36.36
46.814	38.00	47.065	36.36
47.315	38.00	47.566	36.36
47.816	38.00	48.067	36.36
48.316	38.00	48.567	36.36
48.817	38.00	49.068	36.36
49.318	38.00	49.569	36.36
49.819	38.00	50.070	36.36
50.319	38.00	50.570	36.36
50.820	38.00	51.070	36.36
51.321	38.00	51.571	36.36
51.822	38.00	52.071	36.36
52.322	37.88	52.572	36.36
52.823	37.88	53.073	36.25
53.324	38.00	53.574	36.36
53.825	37.88	54.074	36.25
54.325	37.88	54.575	36.36
54.826	37.88	55.076	36.36
55.327	37.88	55.577	36.25
55.827	37.88	56.077	36.25
56.328	37.88	56.578	36.25
56.828	37.88	57.079	36.25
57.329	37.88	57.580	36.25
57.829	37.88	58.080	36.36
58.330	37.88	58.581	36.25
58.831	37.88	59.082	36.25
59.332	37.88	59.582	36.36
59.832	37.88	60.083	36.36
60.333	37.88	60.584	36.25
60.834	37.88	61.085	36.36
61.335	37.88	61.585	36.25
61.835	37.88	62.086	36.36
62.336	37.88	62.587	36.36
62.837	37.88	63.087	36.25
63.337	37.88	63.587	36.25
63.838	37.88	64.088	36.25
64.339	37.88	64.589	36.36
64.840	37.88	65.090	36.25
65.340	37.88	65.590	36.36
65.841	37.88	66.091	36.25
66.342	37.88	66.592	36.25
66.843	37.88	67.092	36.25
67.343	37.88	67.593	36.25
67.844	37.88	68.094	36.25
68.345	37.88	68.595	36.25
68.846	37.88	69.095	36.25
69.345	37.88	69.596	36.25
69.846	37.88	70.097	36.25
70.347	38.00	70.598	36.36
70.847	38.00	71.098	36.36
71.348	38.00	71.599	36.36
71.849	38.00	72.100	36.36
72.350	38.00	72.601	36.36
72.850	38.00	73.101	36.60
73.351	38.12	73.602	36.36
73.852	38.12	74.103	36.36
74.353	38.12	74.604	36.36
74.853	38.00	75.104	36.36
75.354	38.12	75.604	36.48
75.855	38.12	76.105	36.36
76.356	38.12	76.605	36.36
76.856	38.12	77.106	36.36
77.357	38.12	77.607	36.48
77.858	38.12	78.108	36.60
78.359	38.12	78.608	36.36
78.859	38.12	79.109	36.48
79.360	38.12	79.610	36.48
79.861	38.12	80.111	36.48
80.361	38.12	80.611	36.48
80.862	38.12	81.112	36.48
81.363	38.12	81.613	36.36
81.863	38.00	82.114	36.36
82.363	38.12	82.614	36.36
82.864	38.12	83.115	36.36
83.365	38.12	83.616	36.36
83.866	38.12	84.116	36.36
84.366	38.12	84.617	36.48
84.867	38.12	85.118	36.48
85.368	38.12	85.619	36.36
85.869	38.12	86.119	36.48
86.369	38.24	86.620	36.48
86.870	38.12	87.121	36.48
87.371	38.12	87.622	36.48
87.871	38.12	88.121	36.48
88.372	38.12	88.622	36.48
88.873	38.12	89.123	36.48
89.374	38.12	89.624	36.48
89.874	38.12	90.124	36.36
90.375	38.12	90.625	36.48
90.876	38.12	91.126	36.48
91.377	38.12	91.627	36.36
91.877	38.12	92.127	36.48
92.378	38.12	92.628	36.36
92.879	38.12	93.129	36.36
93.380	38.12	93.629	36.36
93.879	38.12	94.130	36.36
94.380	38.12	94.631	36.36
94.881	38.00	95.132	36.36
95.382	38.12	95.632	36.48
95.882	38.12	96.133	36.36
96.383	38.12	96.634	36.36
96.884	38.12	97.135	36.36
97.384	38.12	97.635	36.36
97.885	38.12	98.136	36.36
98.386	38.00	98.637	36.36
98.887	38.00	99.138	36.36
99.387	38.12	99.638	36.36
99.888	38.12	100.138	36.36
100.389	38.12	100.639	36.36
