#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	43.15	0.501	42.26
0.752	43.15	1.001	42.26
1.252	43.15	1.502	42.26
1.753	43.15	2.003	42.26
2.253	43.15	2.504	42.26
2.753	43.15	3.004	42.26
3.254	43.15	3.505	42.26
3.755	43.15	4.006	42.26
4.256	43.15	4.507	42.26
4.756	43.15	5.007	42.26
5.257	43.15	5.508	42.26
5.758	43.15	6.009	42.52
6.259	43.02	6.509	42.26
6.759	43.02	7.010	42.26
7.260	43.15	7.511	42.26
7.761	43.15	8.012	42.26
8.262	43.15	8.511	42.26
8.762	43.15	9.012	42.26
9.263	43.15	9.513	42.26
9.764	43.15	10.014	42.26
10.264	43.15	10.514	42.26
10.765	43.15	11.015	42.26
11.266	43.15	11.516	42.01
11.767	43.15	12.017	42.26
12.267	43.15	12.517	42.26
12.768	43.15	13.018	42.26
13.269	43.15	13.519	42.26
13.770	43.02	14.019	42.26
14.269	43.15	14.520	42.26
14.770	43.15	15.021	42.26
15.271	43.15	15.522	42.26
15.772	43.15	16.022	42.14
16.272	43.28	16.523	42.01
16.773	43.15	17.024	42.26
17.274	43.15	17.525	42.26
17.775	43.15	18.025	42.26
18.275	43.15	18.526	42.26
18.776	43.15	19.027	42.26
19.277	43.15	19.528	42.26
19.777	43.28	20.028	42.26
20.278	43.15	20.528	42.26
20.779	43.15	21.029	42.26
21.280	43.15	21.530	42.26
21.780	43.15	22.030	42.14
22.281	43.28	22.531	42.14
22.782	43.15	23.032	42.26
23.283	43.15	23.532	42.26
23.783	43.15	24.033	42.26
24.284	43.15	24.534	42.26
24.785	43.15	25.035	42.26
25.286	43.28	25.535	42.26
25.786	43.28	26.036	42.14
26.287	43.15	26.537	42.26
26.787	43.15	27.038	42.26
27.287	43.15	27.538	42.26
27.788	43.15	28.039	42.26
28.289	43.15	28.540	42.14
28.790	43.15	29.041	42.26
29.290	43.15	29.541	42.26
29.791	43.15	30.042	42.26
30.292	43.15	30.543	42.26
30.793	43.15	31.043	42.26
31.293	43.15	31.544	42.26
31.794	43.15	32.045	42.26
32.295	43.15	32.545	42.26
32.796	43.15	33.045	42.26
33.296	43.15	33.546	42.26
33.797	43.15	34.047	42.14
34.298	43.15	34.548	42.26
34.799	43.15	35.048	42.26
35.299	43.15	35.549	42.01
35.800	43.15	36.050	42.26
36.301	43.15	36.551	42.26
36.801	43.15	37.051	42.26
37.302	43.02	37.552	42.26
37.803	43.15	38.053	42.26
38.304	43.15	38.554	42.26
38.803	43.15	39.054	42.26
39.304	43.15	39.555	42.26
39.805	43.15	40.056	42.26
40.306	43.15	40.556	42.14
40.806	43.15	41.057	42.26
41.307	43.15	41.558	42.26
41.808	43.15	42.059	42.26
42.309	43.15	42.559	42.26
42.809	43.15	43.060	42.14
43.310	43.15	43.561	42.14
43.811	43.15	44.062	42.26
44.311	43.15	44.562	42.14
44.812	43.02	45.062	42.26
45.313	43.02	45.563	42.26
45.814	43.02	46.064	42.14
46.314	43.02	46.564	42.26
46.815	43.02	47.065	42.14
47.316	43.02	47.566	42.26
47.817	43.02	48.066	42.26
48.317	43.02	48.567	42.14
48.818	43.02	49.068	42.26
49.319	43.02	49.569	42.14
49.820	43.02	50.069	42.14
50.320	43.02	50.570	42.14
50.821	43.02	51.071	42.26
51.321	43.02	51.572	42.14
51.821	43.02	52.072	42.14
52.322	43.02	52.573	42.14
52.823	43.02	53.074	42.14
53.324	43.02	53.575	42.14
53.824	43.02	54.075	42.14
54.325	43.02	54.576	42.14
54.826	42.90	55.077	42.14
55.327	43.02	55.578	42.14
55.827	43.02	56.078	42.14
56.328	43.02	56.579	42.14
56.829	43.02	57.080	42.14
57.330	43.02	57.579	42.14
57.830	43.02	58.080	42.14
58.331	43.02	58.581	42.01
58.832	43.02	59.082	42.14
59.333	43.02	59.582	42.14
59.833	43.02	60.083	42.14
60.334	43.02	60.584	42.14
60.835	43.02	61.085	42.14
61.335	43.02	61.585	42.14
61.836	43.02	62.086	42.14
62.337	43.02	62.587	42.14
62.838	43.02	63.088	42.01
63.338	42.90	63.588	42.14
63.838	43.02	64.089	42.14
64.339	43.02	64.590	42.14
64.840	43.02	65.090	42.14
65.340	43.02	65.591	42.14
65.841	43.02	66.092	42.14
66.342	43.02	66.593	42.14
66.843	43.02	67.093	42.14
67.343	43.02	67.594	42.14
67.844	43.02	68.095	42.14
68.345	43.02	68.596	42.01
68.845	43.02	69.096	42.14
69.346	43.02	69.597	42.14
69.847	43.02	70.097	42.01
70.348	43.02	70.598	42.14
70.848	43.02	71.098	42.14
71.349	43.02	71.599	42.14
71.850	43.02	72.100	42.01
72.351	43.02	72.600	42.14
72.851	43.02	73.101	42.14
73.352	43.02	73.602	42.14
73.853	43.02	74.103	42.01
74.354	43.02	74.603	42.01
74.854	43.02	75.104	42.14
75.355	43.02	75.605	42.14
75.856	43.02	76.106	42.01
76.357	43.02	76.606	42.14
76.856	43.02	77.107	42.14
77.357	43.02	77.608	42.14
77.858	43.02	78.109	42.01
78.358	43.02	78.609	42.01
78.859	43.02	79.110	42.01
79.360	43.02	79.611	42.01
79.861	43.02	80.112	42.14
80.361	43.02	80.612	42.14
80.862	43.02	81.113	42.14
81.363	43.02	81.614	42.14
81.864	43.02	82.114	42.26
82.364	43.02	82.615	42.14
82.865	43.02	83.115	42.14
83.366	43.02	83.616	42.14
83.867	43.02	84.116	42.14
84.367	43.02	84.617	42.14
