#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	25.23	0.501	43.53
0.752	25.13	1.002	43.53
1.252	25.13	1.502	43.41
1.753	25.02	2.003	43.41
2.254	24.92	2.504	43.41
2.755	24.92	3.005	43.53
3.255	24.92	3.505	43.53
3.756	24.81	4.006	43.53
4.257	24.81	4.507	43.41
4.757	24.71	5.007	43.53
5.257	24.61	5.508	43.53
5.758	24.61	6.009	43.41
6.259	24.61	6.510	43.53
6.760	24.50	7.010	43.53
7.260	24.50	7.511	43.53
7.761	24.50	8.012	43.53
8.262	24.40	8.513	43.53
8.762	24.40	9.013	43.41
9.263	24.30	9.514	43.53
9.764	24.30	10.015	43.53
10.265	24.30	10.515	43.53
10.765	24.30	11.015	43.53
11.266	24.19	11.516	43.53
11.767	24.19	12.017	43.53
12.268	24.19	12.517	43.53
12.768	24.09	13.018	43.53
13.269	24.09	13.519	43.53
13.770	24.09	14.020	43.53
14.271	24.09	14.520	43.66
14.771	24.09	15.021	43.66
