#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	36.25	0.501	37.53
0.752	36.48	1.002	38.36
1.252	36.83	1.502	39.07
1.753	37.18	2.003	39.80
2.254	37.65	2.504	40.40
2.755	38.24	3.005	40.89
3.255	38.36	3.505	41.39
3.755	38.47	4.006	41.76
4.256	38.71	4.507	42.14
4.757	38.83	5.007	42.39
5.257	39.07	5.508	42.77
5.758	39.19	6.009	43.02
6.259	39.31	6.510	43.28
6.760	39.55	7.010	43.53
7.260	39.55	7.511	43.66
7.761	39.80	8.012	43.92
8.262	39.92	8.513	44.05
8.762	39.92	9.013	44.18
9.263	40.16	9.514	44.44
9.764	40.16	10.014	44.57
10.265	40.28	10.515	44.57
10.765	40.40	11.015	44.83
11.266	40.40	11.516	44.83
11.767	40.53	12.017	44.96
12.268	40.89	12.518	45.09
12.768	40.77	13.018	45.22
13.269	40.77	13.519	45.22
13.770	40.89	14.020	45.36
14.271	41.02	14.520	45.36
14.771	41.14	15.021	45.36
15.272	41.27	15.522	45.62
15.773	41.27	16.023	45.62
16.273	41.39	16.523	45.62
16.773	41.39	17.024	45.75
17.274	41.51	17.525	45.75
17.775	41.64	18.026	45.75
18.275	41.64	18.526	45.75
18.776	41.76	19.027	45.89
19.277	41.76	19.528	45.89
19.778	41.89	20.029	46.02
20.278	41.89	20.529	46.02
20.779	42.01	21.030	46.02
21.280	42.01	21.531	46.02
21.781	42.14	22.031	46.15
22.281	42.14	22.531	46.15
22.782	42.26	23.032	46.15
23.283	42.14	23.533	46.29
23.784	42.26	24.033	46.29
24.284	42.39	24.534	46.42
24.785	42.39	25.035	46.29
25.286	42.39	25.536	46.42
25.786	42.39	26.036	46.29
26.287	42.52	26.537	46.29
26.788	42.52	27.038	46.15
27.289	42.64	27.539	46.15
27.789	42.64	28.039	46.15
28.290	42.64	28.540	46.29
28.790	42.64	29.041	46.29
29.291	42.64	29.542	46.29
29.791	42.77	30.042	46.15
30.292	42.77	30.543	46.29
30.793	42.77	31.044	46.15
31.294	42.77	31.544	46.29
31.794	42.77	32.045	46.29
32.295	42.77	32.546	46.29
32.796	42.90	33.047	46.29
33.297	42.90	33.547	46.29
33.797	42.77	34.048	46.29
34.298	42.90	34.549	46.29
34.799	42.90	35.049	46.29
35.299	42.90	35.549	46.29
35.800	42.90	36.050	46.29
36.301	42.90	36.551	46.29
36.802	42.90	37.052	46.42
37.302	43.02	37.552	46.29
37.803	43.02	38.053	46.42
38.304	42.90	38.554	46.29
38.805	43.02	39.054	46.29
39.305	43.02	39.555	46.29
39.806	43.02	40.056	46.42
40.307	43.02	40.557	46.42
40.808	43.02	41.057	46.29
41.307	43.15	41.558	46.42
41.808	43.02	42.059	46.29
42.309	43.02	42.560	46.42
42.809	43.15	43.060	46.29
43.310	43.15	43.561	46.42
43.811	43.15	44.062	46.42
44.312	43.15	44.563	46.29
44.812	43.15	45.063	46.42
45.313	43.15	45.564	46.42
45.814	43.15	46.065	46.42
46.315	43.15	46.566	46.29
46.815	43.28	47.066	46.56
47.316	43.15	47.566	46.42
47.817	43.28	48.067	46.29
48.318	43.28	48.567	46.42
