#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:21:51 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	529	0.051	511
0.077	551	0.101	512
0.127	567	0.153	511
0.178	576	0.203	512
0.228	580	0.254	512
0.280	575	0.304	512
0.330	564	0.355	513
0.381	548	0.405	512
0.431	525	0.457	512
0.482	500	0.507	512
0.532	468	0.558	511
0.584	440	0.608	511
0.634	408	0.659	511
0.685	380	0.710	511
0.735	354	0.761	511
0.786	334	0.811	512
0.837	319	0.862	511
0.888	310	0.912	512
0.938	307	0.964	511
0.989	312	1.014	512
1.039	322	1.065	512
1.091	339	1.115	511
1.141	360	1.166	511
1.192	386	1.216	511
1.242	415	1.268	510
1.293	446	1.319	512
1.343	476	1.369	512
1.395	505	1.420	511
1.445	531	1.470	513
1.496	551	1.522	512
1.546	566	1.572	513
1.597	576	1.623	512
1.648	578	1.673	513
1.699	574	1.724	512
1.749	561	1.775	513
1.800	546	1.826	512
1.850	523	1.876	513
1.902	496	1.927	513
1.952	468	1.977	512
2.003	437	2.029	512
2.053	407	2.079	512
2.104	378	2.130	511
2.154	353	2.180	510
2.206	333	2.231	512
2.256	319	2.281	511
2.307	310	2.333	510
2.357	308	2.383	510
2.408	314	2.434	511
2.459	324	2.484	511
2.510	341	2.535	512
2.560	365	2.586	513
2.611	391	2.637	511
2.661	420	2.687	513
2.713	450	2.738	513
2.763	479	2.788	513
2.814	508	2.840	512
2.864	533	2.890	513
2.915	552	2.941	513
2.965	566	2.991	513
3.017	574	3.042	513
3.067	576	3.092	512
3.118	570	3.144	513
3.168	557	3.194	512
3.219	540	3.245	511
3.270	517	3.295	510
3.321	490	3.346	510
3.371	460	3.397	509
3.422	430	3.448	511
3.472	402	3.498	511
3.524	375	3.549	512
3.574	353	3.599	512
3.625	334	3.651	513
3.675	321	3.701	512
3.726	313	3.752	513
3.776	312	3.802	512
3.828	317	3.853	511
3.878	330	3.903	512
3.929	348	3.955	512
3.979	370	4.005	511
4.030	396	4.056	511
4.081	424	4.106	512
4.132	453	4.157	512
4.182	482	4.208	513
4.233	509	4.259	512
4.283	532	4.309	511
4.335	551	4.360	512
4.385	564	4.410	512
4.436	570	4.462	511
4.486	572	4.512	512
4.537	566	4.563	510
4.587	553	4.613	511
4.639	535	4.664	511
4.689	513	4.714	510
4.740	487	4.766	511
4.790	458	4.816	511
4.841	429	4.867	511
4.892	401	4.917	512
4.943	375	4.968	512
4.994	352	5.019	512
5.044	335	5.070	513
5.095	323	5.120	514
5.146	316	5.171	514
5.197	315	5.221	512
