#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	379	0.050	688
0.076	377	0.101	690
0.126	380	0.151	689
0.177	386	0.202	681
0.227	399	0.253	669
0.278	415	0.304	653
0.328	434	0.354	636
0.380	455	0.405	615
0.430	476	0.455	595
0.481	497	0.507	573
0.531	517	0.557	553
0.582	534	0.608	537
0.633	546	0.658	523
0.684	557	0.709	514
0.734	562	0.760	510
0.785	560	0.811	512
0.835	555	0.861	514
0.887	547	0.912	525
0.937	534	0.962	535
0.988	515	1.014	554
1.038	496	1.064	573
1.089	474	1.115	592
1.139	452	1.165	612
1.191	433	1.216	633
1.241	415	1.266	652
1.292	398	1.318	666
1.342	388	1.368	677
1.393	382	1.419	684
1.444	378	1.469	687
1.495	380	1.520	683
1.545	388	1.571	676
1.596	401	1.622	664
1.646	415	1.672	649
1.698	433	1.723	632
1.748	453	1.773	612
1.799	473	1.825	593
1.849	494	1.875	575
1.900	515	1.926	554
1.950	533	1.976	539
2.002	546	2.027	526
2.052	555	2.077	519
2.103	560	2.129	514
2.153	561	2.179	515
2.204	557	2.230	518
2.255	547	2.280	528
2.306	534	2.331	541
2.356	517	2.382	555
2.407	496	2.433	574
2.457	476	2.483	594
2.509	454	2.534	614
2.559	435	2.584	631
2.610	417	2.636	648
2.660	402	2.686	662
2.711	390	2.737	673
2.761	382	2.787	679
2.813	381	2.838	680
2.863	382	2.888	678
2.914	389	2.940	671
2.964	401	2.990	660
3.015	416	3.041	644
3.066	432	3.091	628
3.117	451	3.142	611
3.167	473	3.193	590
3.218	494	3.244	572
3.268	514	3.294	556
3.320	531	3.345	541
3.370	544	3.395	530
3.421	553	3.447	522
3.471	561	3.497	518
3.522	561	3.548	517
3.572	556	3.598	524
3.624	548	3.649	534
3.674	535	3.699	545
3.725	518	3.751	561
3.775	499	3.801	576
3.826	478	3.852	596
3.877	457	3.902	614
3.928	438	3.953	632
3.978	419	4.004	647
4.029	405	4.055	662
4.079	393	4.105	669
4.131	386	4.156	675
4.181	384	4.206	677
4.232	385	4.258	673
4.282	390	4.308	667
4.333	400	4.359	656
4.383	415	4.409	642
4.435	432	4.460	625
4.485	451	4.510	608
4.536	472	4.562	590
4.586	492	4.612	572
4.637	511	4.663	556
