#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	421	0.050	600
0.076	391	0.101	594
0.126	366	0.152	590
0.177	346	0.203	582
0.227	334	0.253	575
0.279	331	0.304	568
0.329	334	0.354	559
0.380	347	0.406	553
0.430	364	0.456	548
0.481	389	0.507	544
0.532	419	0.557	542
0.583	450	0.608	542
0.633	485	0.659	543
0.684	520	0.710	546
0.734	552	0.760	551
0.786	582	0.811	557
0.836	607	0.861	565
0.887	625	0.912	573
0.937	633	0.963	582
0.988	637	1.014	591
1.038	633	1.064	601
1.090	617	1.115	608
1.140	597	1.165	616
1.191	570	1.217	618
1.241	540	1.267	621
1.292	506	1.318	622
1.343	473	1.368	619
1.394	438	1.419	614
1.444	407	1.470	608
1.495	381	1.521	600
1.545	358	1.571	591
1.597	345	1.622	580
1.647	337	1.672	571
1.698	337	1.724	560
1.748	345	1.774	551
1.799	360	1.825	543
1.849	380	1.875	535
1.901	406	1.926	531
1.951	437	1.976	528
2.002	469	2.028	527
2.052	503	2.078	531
2.103	536	2.129	537
2.154	566	2.179	545
2.205	591	2.230	554
2.255	613	2.281	566
2.306	625	2.332	577
2.356	630	2.382	590
2.408	629	2.433	601
2.458	620	2.483	612
2.509	602	2.535	619
2.559	580	2.585	628
2.610	552	2.636	633
2.660	520	2.686	634
2.712	487	2.737	633
2.762	456	2.787	629
2.813	424	2.839	620
2.863	395	2.889	612
2.914	375	2.940	601
2.965	355	2.990	589
3.016	346	3.041	576
3.066	344	3.092	562
3.117	348	3.143	550
3.167	358	3.193	538
3.219	374	3.244	530
3.269	399	3.294	523
3.320	426	3.346	518
3.370	457	3.396	516
3.421	488	3.447	518
3.471	520	3.497	524
3.523	549	3.548	532
3.573	576	3.598	543
3.624	598	3.650	555
3.674	612	3.700	569
3.725	621	3.751	583
3.776	622	3.801	598
3.827	616	3.852	611
3.877	604	3.903	624
3.928	584	3.954	632
3.978	560	4.004	640
4.030	532	4.055	644
4.080	502	4.105	645
4.131	471	4.157	640
4.181	440	4.207	635
4.232	414	4.258	625
4.282	390	4.308	613
4.334	370	4.359	598
4.384	357	4.409	583
4.435	352	4.461	569
4.485	355	4.511	553
4.536	361	4.562	538
4.587	374	4.612	526
4.638	393	4.663	517
4.688	415	4.714	510
4.739	444	4.765	506
4.789	473	4.815	507
4.841	503	4.866	511
4.891	532	4.916	519
4.942	559	4.968	529
4.992	580	5.018	543
5.043	598	5.069	559
5.093	608	5.119	575
5.145	613	5.170	591
5.195	611	5.220	607
5.246	603	5.272	623
5.296	587	5.322	636
5.347	567	5.373	647
5.398	542	5.423	653
5.449	515	5.474	656
5.500	486	5.525	655
5.550	458	5.576	649
5.601	430	5.626	639
5.652	406	5.677	627
5.703	387	5.727	611
5.753	373	5.779	594
5.804	364	5.829	576
5.854	361	5.880	557
5.906	365	5.930	541
5.956	374	5.981	526
6.007	390	6.031	511
6.057	410	6.083	503
6.108	434	6.133	498
6.158	461	6.184	496
6.210	488	6.234	499
6.260	517	6.285	505
6.311	541	6.336	515
6.361	564	6.387	529
6.412	583	6.437	546
6.463	596	6.488	564
6.514	603	6.538	584
6.564	604	6.590	603
6.615	598	6.640	621
6.665	587	6.691	637
6.717	570	6.741	652
6.767	550	6.792	661
6.818	525	6.842	666
6.868	499	6.894	665
6.919	472	6.944	661
6.969	445	6.995	652
7.021	421	7.045	640
7.071	402	7.096	624
7.122	386	7.147	606
7.172	374	7.198	585
7.223	370	7.248	565
7.274	370	7.299	545
7.325	377	7.349	527
7.375	390	7.401	510
7.426	407	7.451	497
7.476	427	7.502	489
7.528	451	7.552	487
7.578	476	7.603	488
7.629	503	7.653	493
7.679	526	7.705	502
7.730	550	7.755	517
7.780	567	7.806	534
7.832	582	7.856	555
7.882	591	7.907	574
7.933	595	7.958	596
7.983	592	8.009	618
8.034	585	8.059	637
8.085	571	8.110	651
8.136	554	8.160	664
8.186	532	8.212	671
8.237	509	8.262	675
8.287	483	8.313	671
8.339	460	8.363	664
8.389	437	8.414	653
8.440	418	8.464	637
8.490	402	8.516	617
8.541	390	8.567	596
8.591	382	8.617	575
8.643	381	8.668	552
8.693	385	8.718	531
8.744	394	8.770	512
8.794	407	8.820	498
8.845	424	8.871	487
8.896	444	8.921	480
8.947	466	8.972	479
8.997	490	9.023	484
9.048	512	9.074	491
9.098	533	9.124	504
9.150	551	9.175	522
9.200	567	9.225	542
9.251	577	9.277	564
9.301	582	9.327	588
9.352	583	9.378	610
9.402	579	9.428	631
9.454	568	9.479	650
9.504	554	9.529	665
9.555	537	9.581	675
9.605	517	9.631	681
9.656	495	9.682	681
9.707	472	9.732	676
9.758	453	9.783	665
9.808	432	9.834	650
9.859	418	9.885	630
9.909	405	9.935	609
9.961	396	9.986	586
10.011	391	10.036	561
10.062	393	10.088	538
10.112	399	10.138	518
10.163	409	10.189	499
10.213	422	10.239	486
10.265	439	10.290	476
10.315	458	10.340	472
10.366	479	10.392	471
10.416	498	10.442	480
10.467	520	10.493	493
10.518	536	10.543	509
10.569	550	10.594	529
10.619	561	10.645	552
10.670	569	10.696	577
10.720	572	10.746	601
10.772	571	10.797	625
10.822	563	10.847	646
10.873	553	10.899	663
10.923	539	10.949	677
10.974	523	11.000	686
11.024	504	11.050	688
11.076	484	11.101	685
11.126	466	11.151	677
11.177	448	11.203	661
11.227	432	11.253	644
11.278	419	11.304	622
11.329	411	11.354	598
11.380	405	11.405	573
11.430	403	11.456	548
11.481	406	11.507	525
11.531	412	11.557	503
11.583	423	11.608	486
11.633	437	11.658	475
11.684	454	11.710	469
11.734	471	11.760	468
11.785	488	11.811	472
11.836	506	11.861	482
11.887	523	11.912	497
11.937	537	11.962	516
11.988	547	12.014	540
12.038	556	12.064	564
12.089	560	12.115	589
12.140	560	12.165	616
12.191	556	12.216	639
12.241	548	12.267	660
12.292	538	12.318	675
12.342	524	12.368	687
12.394	509	12.419	693
12.444	493	12.469	691
12.495	477	12.521	686
12.545	460	12.571	673
12.596	445	12.622	656
12.647	433	12.672	635
12.698	424	12.723	610
12.748	418	12.773	585
12.799	415	12.825	559
12.849	416	12.875	534
12.900	420	12.926	511
12.951	428	12.976	490
13.002	438	13.027	476
13.053	451	13.078	465
13.103	464	13.129	462
13.154	480	13.179	465
13.205	495	13.230	473
13.256	509	13.280	486
13.306	522	13.332	505
13.357	534	13.382	527
13.407	540	13.433	551
13.459	545	13.483	578
13.509	548	13.534	606
13.560	545	13.584	632
13.610	541	13.636	653
13.661	534	13.686	672
13.711	524	13.737	687
13.763	512	13.787	694
13.813	498	13.838	697
13.864	485	13.889	693
13.914	472	13.940	683
13.965	458	13.990	666
14.016	448	14.041	646
14.067	439	14.091	624
14.117	431	14.143	597
14.168	427	14.193	570
14.218	427	14.244	543
14.270	430	14.294	518
14.320	434	14.345	495
14.371	442	14.396	480
14.421	451	14.447	466
14.472	462	14.497	459
14.522	474	14.548	458
14.574	486	14.598	465
14.624	499	14.649	477
14.675	510	14.700	493
14.725	518	14.751	514
14.776	527	14.801	539
14.827	534	14.852	565
14.878	536	14.902	593
14.928	535	14.954	619
14.979	533	15.004	644
15.029	528	15.055	666
15.081	520	15.105	681
15.131	512	15.156	692
15.182	501	15.207	697
15.232	490	15.258	697
15.283	480	15.308	690
15.333	469	15.359	677
15.385	461	15.409	658
15.435	453	15.460	635
15.486	446	15.511	610
15.536	442	15.562	584
15.587	440	15.612	556
15.638	441	15.663	530
15.689	443	15.713	505
15.739	448	15.765	485
15.790	454	15.815	471
15.840	462	15.866	461
15.892	470	15.916	458
15.942	480	15.967	461
15.993	490	16.018	470
16.043	498	16.069	482
16.094	506	16.120	503
16.144	512	16.170	527
16.196	518	16.221	552
16.246	521	16.271	579
16.297	522	16.323	608
16.347	521	16.373	634
16.398	519	16.424	657
16.449	515	16.474	676
16.500	509	16.525	689
16.550	503	16.576	697
16.601	495	16.627	698
16.651	487	16.677	695
16.703	480	16.728	684
16.753	472	16.778	668
16.804	464	16.830	647
16.854	460	16.880	623
