#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	398	0.051	656
0.076	401	0.101	696
0.127	403	0.153	727
0.177	405	0.203	742
0.228	409	0.254	741
0.279	411	0.304	727
0.330	414	0.355	703
0.380	416	0.406	665
0.431	418	0.457	615
0.481	418	0.507	556
0.533	419	0.558	494
0.583	418	0.608	429
0.634	417	0.660	363
0.684	416	0.710	306
0.735	413	0.761	254
0.786	408	0.811	216
0.837	404	0.862	187
0.887	399	0.912	175
0.938	392	0.964	178
0.988	389	1.014	197
1.039	383	1.065	227
1.090	379	1.115	271
1.141	375	1.166	323
1.191	374	1.217	384
1.242	372	1.268	448
1.292	373	1.318	511
1.344	375	1.369	572
1.394	379	1.419	625
1.445	384	1.471	672
1.495	390	1.521	705
1.546	396	1.572	729
1.597	404	1.622	735
1.648	413	1.673	728
1.698	419	1.723	708
1.749	428	1.775	679
1.799	432	1.825	635
1.850	438	1.876	583
1.901	440	1.926	523
1.952	441	1.977	460
2.003	439	2.028	399
2.053	437	2.079	338
2.104	431	2.129	287
2.155	425	2.180	242
2.206	417	2.230	210
2.256	407	2.282	189
2.307	398	2.332	185
2.357	386	2.383	196
2.409	377	2.433	219
2.459	369	2.484	254
2.510	362	2.535	301
2.560	356	2.586	356
2.611	352	2.636	415
2.661	351	2.687	477
2.713	354	2.737	537
2.763	358	2.788	592
2.814	365	2.839	641
2.864	373	2.890	681
2.915	384	2.940	709
2.966	395	2.991	725
3.017	407	3.041	723
3.067	421	3.093	711
3.118	432	3.143	688
3.168	442	3.194	653
3.220	451	3.244	607
3.270	458	3.295	554
3.321	460	3.346	495
3.371	461	3.397	435
3.422	458	3.447	377
3.472	453	3.498	321
3.524	444	3.548	274
3.574	433	3.599	236
3.625	420	3.650	210
3.675	407	3.701	197
3.726	392	3.751	200
3.777	377	3.802	214
3.828	364	3.852	242
3.878	352	3.904	281
3.929	342	3.954	329
3.979	335	4.005	384
4.031	332	4.055	443
4.081	332	4.106	502
4.132	336	4.157	558
4.182	343	4.208	610
4.233	354	4.258	653
4.283	366	4.309	687
4.335	382	4.359	708
4.385	400	4.410	717
4.436	416	4.461	708
4.486	432	4.512	692
4.537	448	4.562	665
4.588	461	4.613	627
4.639	472	4.663	579
4.689	478	4.715	526
4.740	481	4.765	468
4.790	480	4.816	410
4.842	475	4.866	355
4.892	465	4.917	304
4.943	452	4.968	265
4.993	437	5.019	232
5.044	419	5.070	215
5.095	401	5.120	209
5.146	382	5.171	217
5.196	363	5.221	235
5.247	347	5.273	268
5.297	332	5.323	309
5.348	321	5.374	360
5.399	315	5.424	414
5.450	313	5.475	471
5.500	314	5.526	526
5.551	322	5.577	578
5.601	333	5.627	624
5.653	347	5.678	660
5.703	366	5.728	688
5.754	385	5.780	701
5.804	407	5.830	702
5.855	428	5.881	691
5.906	449	5.931	673
5.957	467	5.982	639
6.007	482	6.032	599
6.058	491	6.084	549
6.108	498	6.134	497
6.159	499	6.185	441
6.210	496	6.235	387
6.261	487	6.286	337
6.311	474	6.337	294
6.362	457	6.388	260
6.412	437	6.438	235
6.464	414	6.489	224
6.514	391	6.539	225
6.565	368	6.591	239
6.615	346	6.641	262
6.666	328	6.692	298
6.717	311	6.742	339
6.768	302	6.793	390
6.818	296	6.843	442
6.869	295	6.895	494
6.919	300	6.945	546
6.970	311	6.996	592
7.021	325	7.046	632
7.072	345	7.097	662
7.122	368	7.148	682
7.173	394	7.199	689
7.223	419	7.249	685
7.275	443	7.300	670
7.325	467	7.350	647
7.376	486	7.402	612
7.426	501	7.452	569
7.477	511	7.503	521
7.528	517	7.553	471
7.579	516	7.604	420
7.629	509	7.655	371
7.680	496	7.706	327
7.730	479	7.756	289
7.781	456	7.807	262
7.832	431	7.857	244
7.883	404	7.908	240
7.934	377	7.959	245
7.984	351	8.010	263
8.035	327	8.060	289
8.086	307	8.111	327
8.137	292	8.161	369
8.187	282	8.213	417
8.238	278	8.263	466
8.288	282	8.314	515
8.340	290	8.364	562
8.390	304	8.415	601
8.441	324	8.466	636
8.491	349	8.517	658
8.542	376	8.567	673
8.592	406	8.618	673
8.644	435	8.668	665
8.694	462	8.719	647
8.745	486	8.770	620
8.795	507	8.821	583
8.846	521	8.871	542
8.897	531	8.922	496
8.948	533	8.972	449
8.998	529	9.024	402
9.049	518	9.074	358
9.099	501	9.125	320
9.151	478	9.175	289
9.201	451	9.226	268
9.252	422	9.277	257
9.302	391	9.328	258
9.353	361	9.378	266
9.403	332	9.429	289
9.455	307	9.479	317
9.505	287	9.530	354
9.556	273	9.581	396
9.606	265	9.632	442
9.657	264	9.682	487
9.708	270	9.733	531
9.759	284	9.783	572
9.809	302	9.835	606
9.860	327	9.885	633
9.910	357	9.936	650
9.962	387	9.986	658
10.012	421	10.037	655
10.063	451	10.088	644
10.113	481	10.139	622
10.164	507	10.189	594
10.215	527	10.240	557
10.266	540	10.290	519
10.316	547	10.341	473
10.367	547	10.392	431
10.417	538	10.443	388
10.468	523	10.493	350
10.519	500	10.544	319
10.570	473	10.594	294
