#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	516	0.051	474
0.076	456	0.101	472
0.126	393	0.152	473
0.178	331	0.202	471
0.228	272	0.253	470
0.279	221	0.304	466
0.329	179	0.355	466
0.380	148	0.405	462
0.431	131	0.456	460
0.482	129	0.506	456
0.532	143	0.558	453
0.583	166	0.608	450
0.633	203	0.659	447
0.685	250	0.709	446
0.735	306	0.760	444
0.786	367	0.811	446
0.836	430	0.862	446
0.887	491	0.912	449
0.938	547	0.963	451
0.989	598	1.013	457
1.039	637	1.064	460
1.090	665	1.115	467
1.140	679	1.166	472
1.191	676	1.216	479
1.242	661	1.267	484
1.293	633	1.318	490
1.343	593	1.369	494
1.394	543	1.420	497
1.444	485	1.470	498
1.496	426	1.521	497
1.546	363	1.571	497
1.597	305	1.623	492
1.647	251	1.673	488
1.698	206	1.724	480
1.749	170	1.774	472
1.800	145	1.825	463
1.850	136	1.875	455
1.901	142	1.927	445
1.951	160	1.977	438
2.002	188	2.028	431
2.053	229	2.078	425
2.104	279	2.129	421
2.154	336	2.180	420
2.205	396	2.231	421
2.255	457	2.281	423
2.307	514	2.332	429
2.357	566	2.382	435
2.408	609	2.434	446
2.458	644	2.484	456
2.509	665	2.535	468
2.560	670	2.585	479
2.611	663	2.636	492
2.661	643	2.686	501
2.712	609	2.738	510
2.762	567	2.788	518
2.813	516	2.839	521
2.864	457	2.889	523
2.915	398	2.940	522
2.965	339	2.991	517
3.016	284	3.042	510
3.066	236	3.092	502
3.118	195	3.143	489
3.168	166	3.193	476
3.219	148	3.245	460
3.269	145	3.295	446
3.320	157	3.346	432
3.371	179	3.396	420
3.422	212	3.447	408
3.472	257	3.498	401
3.523	307	3.549	396
3.573	364	3.599	396
3.624	423	3.650	399
3.675	481	3.700	405
3.726	534	3.751	415
3.776	582	3.802	426
3.827	619	3.853	441
3.877	647	3.903	457
3.929	661	3.954	474
3.979	659	4.004	492
4.030	646	4.056	508
4.080	621	4.106	520
4.131	584	4.157	534
4.182	538	4.207	541
4.233	486	4.258	546
4.283	429	4.309	546
4.334	371	4.360	542
4.384	316	4.410	534
4.435	266	4.461	522
4.486	222	4.511	508
4.537	189	4.562	490
4.587	166	4.613	472
4.638	156	4.664	451
4.688	162	4.714	433
4.740	176	4.765	413
4.790	202	4.815	399
4.841	239	4.867	385
4.891	286	4.917	377
4.942	337	4.968	372
4.993	392	5.018	373
5.044	447	5.069	378
5.094	501	5.120	389
5.145	549	5.171	404
5.195	591	5.221	421
5.246	622	5.272	443
5.297	644	5.322	463
5.348	649	5.373	487
5.398	642	5.424	507
5.449	625	5.475	527
5.499	595	5.525	543
5.551	556	5.576	557
5.601	509	5.626	565
5.652	459	5.678	569
5.702	403	5.728	566
5.753	350	5.779	559
5.804	298	5.829	547
5.855	254	5.880	530
5.905	216	5.931	511
5.956	188	5.982	486
6.006	172	6.032	463
6.058	170	6.083	438
6.108	179	6.133	415
6.159	198	6.184	392
6.209	228	6.235	375
6.260	265	6.286	360
6.310	313	6.336	352
6.362	363	6.387	349
6.412	416	6.437	354
6.463	468	6.489	363
6.513	518	6.539	378
6.564	561	6.590	398
6.615	596	6.640	422
6.666	621	6.691	448
6.716	633	6.742	474
6.767	633	6.793	502
6.817	623	6.843	526
