#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:55:59 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	442	0.050	472
0.075	442	0.100	474
0.126	442	0.151	471
0.177	443	0.201	473
0.227	442	0.252	472
0.278	442	0.303	477
0.328	443	0.354	472
0.379	442	0.404	471
0.430	445	0.455	471
0.481	444	0.505	477
0.531	441	0.557	474
0.582	443	0.607	469
0.632	443	0.658	473
0.684	443	0.708	471
0.734	444	0.759	471
0.785	443	0.811	469
0.835	443	0.861	471
0.886	443	0.912	473
0.937	443	0.962	467
0.988	444	1.013	476
1.038	444	1.063	469
1.089	443	1.115	474
1.139	443	1.165	473
1.190	443	1.216	474
1.241	445	1.266	473
1.292	445	1.317	473
1.342	443	1.368	468
1.393	446	1.419	472
1.443	444	1.469	473
1.495	442	1.520	471
1.545	443	1.570	472
1.596	446	1.622	476
1.646	443	1.672	475
1.697	443	1.723	479
1.748	443	1.773	473
1.799	443	1.824	471
1.849	442	1.875	468
1.900	443	1.926	474
1.950	443	1.976	461
2.001	445	2.027	452
2.052	442	2.077	426
2.103	443	2.128	399
2.153	444	2.179	373
2.204	443	2.230	349
2.254	444	2.280	344
2.306	443	2.331	340
2.356	444	2.381	348
2.407	444	2.433	357
2.457	443	2.483	376
2.508	442	2.534	399
2.559	443	2.584	430
2.610	442	2.635	463
2.660	443	2.686	495
2.711	441	2.737	528
2.761	442	2.787	556
2.812	443	2.838	577
2.863	444	2.888	596
2.914	442	2.939	604
2.964	442	2.990	603
3.015	445	3.041	594
3.065	443	3.091	584
3.117	443	3.142	565
3.167	443	3.192	543
3.218	443	3.244	507
3.268	442	3.294	480
3.319	444	3.345	453
3.370	442	3.395	422
3.421	444	3.446	400
3.471	443	3.497	382
3.522	443	3.548	369
3.572	444	3.598	367
3.623	442	3.649	363
3.674	443	3.699	378
3.725	444	3.750	391
3.775	443	3.801	411
3.826	444	3.852	432
3.876	444	3.902	457
3.928	444	3.953	488
3.978	446	4.003	509
4.029	443	4.055	535
4.079	441	4.105	553
4.130	439	4.156	567
4.181	442	4.206	575
4.232	443	4.257	578
4.282	443	4.308	578
4.333	443	4.359	568
4.383	444	4.409	561
4.435	442	4.460	542
4.485	443	4.510	525
4.536	444	4.561	498
