#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	173	0.050	815
0.076	121	0.100	859
0.126	97	0.151	893
0.177	67	0.202	900
0.227	71	0.253	905
0.278	82	0.303	891
0.329	105	0.354	864
0.380	149	0.405	815
0.430	208	0.455	760
0.481	256	0.507	702
0.531	331	0.557	645
0.582	390	0.608	570
0.633	456	0.658	512
0.684	514	0.709	452
0.734	563	0.760	400
0.785	596	0.811	362
0.835	619	0.861	340
0.887	637	0.912	325
0.937	631	0.962	343
0.988	610	1.014	357
1.038	580	1.064	392
1.089	533	1.115	438
1.140	488	1.165	491
1.191	423	1.216	553
1.241	359	1.267	629
1.292	302	1.318	689
1.342	238	1.368	753
1.393	191	1.419	801
1.444	145	1.469	842
1.495	109	1.520	880
1.545	82	1.571	894
1.596	87	1.622	893
1.646	92	1.672	880
1.698	116	1.723	853
1.748	147	1.773	812
1.799	204	1.825	768
1.849	259	1.875	697
1.900	328	1.926	643
1.951	383	1.976	570
2.002	454	2.027	511
2.052	503	2.078	462
2.103	551	2.129	418
2.153	596	2.179	370
2.204	619	2.230	345
2.255	639	2.280	334
2.306	632	2.331	339
2.356	616	2.382	360
2.407	589	2.433	392
2.457	546	2.483	442
2.509	494	2.534	494
2.559	440	2.584	552
2.610	385	2.636	620
2.660	318	2.686	671
2.711	251	2.737	732
2.762	197	2.787	787
2.813	156	2.838	827
2.863	121	2.889	854
2.914	95	2.940	878
2.964	83	2.990	887
3.015	94	3.041	873
3.066	118	3.091	838
3.117	154	3.142	810
3.167	203	3.193	764
3.218	255	3.244	707
3.268	305	3.294	647
3.320	377	3.345	579
3.370	445	3.395	522
3.421	490	3.447	465
3.471	542	3.497	417
3.522	592	3.548	380
3.573	615	3.598	356
3.624	633	3.649	345
3.674	637	3.700	347
3.725	616	3.751	361
3.775	592	3.801	397
3.827	562	3.852	440
3.877	508	3.902	491
3.928	453	3.953	545
3.978	391	4.004	608
4.029	327	4.055	665
4.079	276	4.105	728
4.131	212	4.156	770
4.181	165	4.206	819
4.232	126	4.258	855
4.282	102	4.308	865
4.333	89	4.359	874
4.384	106	4.409	861
4.435	115	4.460	842
4.485	155	4.511	801
4.536	188	4.562	764
4.586	247	4.612	704
4.638	310	4.663	646
4.688	374	4.713	587
4.739	430	4.764	533
4.789	480	4.815	471
4.840	541	4.866	430
4.890	584	4.916	392
4.942	610	4.967	358
4.992	633	5.017	346
5.043	633	5.069	343
5.093	619	5.119	365
5.144	604	5.170	400
5.195	561	5.220	438
5.246	511	5.271	479
5.296	463	5.322	537
5.347	403	5.373	601
5.397	340	5.423	653
5.449	286	5.474	715
5.499	221	5.524	760
5.550	184	5.575	809
5.600	136	5.626	837
5.651	107	5.677	861
5.701	100	5.727	867
5.753	100	5.778	856
5.803	122	5.828	836
5.854	152	5.880	797
5.904	184	5.930	759
5.955	240	5.981	715
6.006	293	6.031	647
6.057	357	6.082	596
6.107	410	6.133	531
6.158	473	6.184	477
6.208	529	6.234	436
6.260	573	6.285	398
6.310	610	6.335	362
6.361	633	6.387	350
6.411	636	6.437	348
6.462	626	6.488	364
6.512	604	6.538	395
6.564	564	6.589	432
6.614	518	6.639	481
6.665	467	6.691	534
6.715	407	6.741	599
6.766	352	6.792	645
6.817	289	6.842	709
6.868	235	6.893	760
6.918	188	6.944	804
6.969	146	6.995	837
7.019	119	7.045	849
7.071	110	7.096	861
7.121	105	7.146	851
7.172	122	7.198	833
7.222	151	7.248	799
7.273	180	7.299	762
7.323	240	7.349	705
7.375	286	7.400	654
7.425	351	7.450	599
7.476	410	7.502	545
7.526	466	7.552	485
7.577	523	7.603	439
7.628	560	7.653	403
7.679	598	7.704	367
7.729	623	7.755	358
7.780	634	7.806	354
7.830	624	7.856	369
7.882	602	7.907	400
7.932	574	7.957	427
7.983	535	8.009	477
8.033	478	8.059	534
8.084	421	8.110	581
8.134	359	8.160	641
8.186	305	8.211	696
8.236	257	8.261	755
8.287	190	8.313	796
8.337	159	8.363	831
8.388	128	8.414	844
8.439	111	8.464	857
8.490	113	8.515	850
8.540	127	8.566	830
8.591	143	8.617	796
8.641	181	8.667	763
8.693	232	8.718	713
8.743	277	8.768	667
8.794	338	8.820	608
8.844	404	8.870	545
8.895	458	8.921	488
8.945	507	8.971	440
8.997	555	9.022	409
9.048	591	9.072	377
9.098	625	9.124	366
9.149	621	9.174	356
9.199	621	9.225	378
9.251	612	9.275	394
9.301	581	9.326	428
9.352	540	9.377	479
9.402	485	9.428	526
9.453	439	9.478	575
9.504	380	9.529	638
9.555	314	9.579	689
9.605	264	9.631	742
9.656	213	9.681	783
9.706	174	9.732	816
9.758	138	9.782	840
9.808	118	9.833	847
9.859	114	9.883	840
9.909	126	9.935	828
9.960	144	9.985	800
10.010	182	10.036	763
10.062	226	10.086	713
10.112	273	10.137	663
10.163	332	10.188	601
10.213	385	10.239	557
10.264	446	10.289	500
10.315	494	10.340	449
10.366	545	10.390	412
10.416	589	10.442	376
10.467	605	10.492	359
10.517	624	10.543	366
10.569	622	10.593	374
10.619	603	10.644	393
10.670	584	10.694	431
10.720	546	10.746	464
10.771	496	10.796	523
10.821	441	10.847	575
10.873	382	10.897	628
10.923	321	10.948	685
10.974	269	10.999	732
11.024	216	11.050	774
11.075	179	11.100	810
11.126	150	11.151	839
11.177	123	11.201	844
11.227	121	11.253	834
11.278	134	11.303	822
11.328	144	11.354	796
11.380	181	11.404	761
11.430	217	11.455	721
11.481	268	11.505	672
11.531	323	11.557	610
11.582	386	11.607	554
11.632	437	11.658	506
11.684	491	11.708	456
11.734	533	11.759	411
11.785	575	11.810	387
11.835	609	11.861	365
11.886	620	11.911	361
11.937	618	11.962	370
11.988	616	12.013	391
12.038	585	12.064	434
12.089	551	12.115	471
12.139	502	12.165	520
12.191	455	12.216	569
12.241	400	12.266	635
12.292	343	12.318	684
12.342	281	12.368	737
12.393	232	12.419	770
12.443	188	12.469	812
12.495	156	12.520	834
12.545	129	12.570	843
12.596	128	12.622	833
12.646	133	12.672	826
12.697	141	12.723	793
12.748	171	12.773	761
12.799	211	12.824	725
12.849	258	12.875	670
12.900	313	12.926	619
12.950	368	12.976	556
13.002	424	13.027	506
13.052	479	13.077	457
13.103	523	13.129	417
13.153	564	13.179	386
13.204	597	13.230	369
13.254	612	13.280	365
13.306	610	13.331	379
13.356	606	13.381	398
13.407	579	13.433	433
13.457	555	13.483	465
13.508	506	13.534	510
13.559	453	13.584	566
13.610	406	13.635	624
13.660	345	13.686	671
13.711	293	13.737	725
13.761	239	13.787	774
13.813	199	13.838	806
13.863	170	13.888	828
