#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	266	0.050	323
0.075	206	0.101	296
0.127	171	0.151	286
0.177	141	0.202	279
0.228	127	0.253	285
0.278	193	0.304	316
0.329	241	0.354	344
0.380	176	0.405	390
0.431	227	0.455	436
0.481	278	0.507	488
0.532	335	0.557	548
0.582	401	0.608	603
0.634	468	0.658	653
0.684	530	0.709	695
0.735	593	0.759	734
0.785	640	0.811	763
0.836	675	0.861	779
0.886	708	0.912	780
0.938	725	0.962	758
0.988	712	1.013	741
1.039	692	1.064	715
1.089	665	1.115	669
1.140	622	1.165	633
1.191	567	1.216	573
1.242	515	1.266	509
1.292	439	1.318	461
1.343	380	1.368	418
1.393	321	1.419	367
1.445	255	1.469	334
1.495	209	1.520	307
1.546	164	1.570	295
1.596	139	1.622	296
1.647	123	1.672	294
1.697	96	1.723	313
1.749	138	1.773	350
1.799	182	1.824	396
1.850	233	1.875	432
1.900	284	1.926	490
1.951	354	1.976	542
2.002	424	2.027	591
2.053	476	2.077	646
2.103	549	2.129	684
2.154	599	2.179	723
2.204	647	2.230	747
2.256	685	2.280	760
2.306	710	2.331	768
2.357	721	2.381	748
2.407	714	2.433	732
2.458	692	2.484	715
2.508	660	2.534	668
2.560	613	2.585	620
2.610	562	2.635	568
2.661	505	2.687	524
2.711	429	2.737	464
2.762	363	2.788	429
2.813	311	2.838	381
2.864	248	2.889	347
2.914	192	2.940	318
2.965	163	2.991	308
3.015	134	3.041	307
3.067	128	3.092	303
3.117	108	3.142	331
3.168	156	3.194	350
3.218	192	3.244	394
3.269	239	3.295	438
3.319	296	3.345	492
3.371	365	3.396	538
3.421	433	3.446	586
3.472	489	3.498	633
3.522	555	3.548	682
3.573	607	3.599	711
3.624	651	3.649	738
3.675	678	3.700	755
3.725	708	3.751	756
3.776	715	3.802	752
3.826	702	3.852	736
3.878	681	3.903	706
3.928	654	3.953	667
3.979	602	4.005	621
4.029	548	4.055	575
4.080	489	4.106	528
4.130	419	4.156	478
4.182	361	4.207	431
4.232	296	4.257	387
4.283	247	4.309	355
4.333	194	4.359	326
4.384	151	4.410	311
4.435	138	4.460	303
4.486	134	4.511	319
4.536	181	4.562	333
4.587	170	4.613	362
4.637	205	4.663	398
4.689	252	4.714	434
4.739	310	4.764	487
4.790	377	4.816	527
4.840	443	4.866	579
4.891	494	4.917	627
4.941	559	4.967	675
4.993	613	5.018	700
5.043	656	5.068	727
5.094	692	5.120	745
5.144	702	5.170	747
5.195	702	5.221	743
5.246	711	5.271	732
5.297	681	5.322	696
5.347	639	5.373	661
5.398	595	5.424	627
5.448	538	5.474	572
5.500	474	5.525	529
5.550	410	5.575	483
5.601	352	5.627	445
5.651	286	5.677	393
5.702	236	5.728	358
5.752	186	5.778	335
5.804	162	5.829	317
5.854	126	5.879	311
5.905	138	5.931	320
5.955	148	5.981	337
6.006	174	6.032	359
6.057	212	6.082	399
6.108	260	6.133	435
6.158	318	6.184	480
6.209	385	6.235	531
6.259	453	6.285	576
6.311	508	6.336	619
6.361	563	6.386	669
6.412	623	6.438	700
6.462	653	6.488	721
6.513	690	6.539	738
6.563	705	6.589	740
6.615	698	6.640	742
6.665	696	6.690	729
6.716	664	6.742	699
6.766	629	6.792	665
6.817	584	6.843	628
6.868	523	6.893	588
6.919	465	6.944	532
6.970	405	6.995	482
7.020	337	7.046	452
7.071	281	7.096	400
7.122	228	7.147	363
7.173	191	7.197	341
7.223	158	7.249	325
7.274	148	7.299	317
7.324	142	7.350	326
7.376	157	7.400	337
7.426	188	7.451	365
7.477	224	7.501	391
7.527	271	7.553	429
7.578	330	7.603	473
7.628	395	7.654	510
7.680	462	7.704	570
7.730	524	7.755	615
7.781	581	7.806	663
7.831	620	7.857	685
7.882	664	7.907	713
7.933	689	7.958	730
7.984	705	8.008	739
8.034	692	8.060	735
8.085	686	8.110	720
8.135	658	8.161	694
8.187	611	8.211	664
8.237	567	8.262	623
8.288	511	8.312	586
8.338	452	8.364	545
8.389	393	8.414	498
8.439	334	8.465	448
8.491	272	8.515	414
8.541	220	8.566	379
8.592	181	8.617	346
8.642	155	8.668	329
8.693	149	8.718	318
8.744	157	8.769	323
8.795	158	8.819	331
8.845	199	8.871	353
8.896	240	8.921	390
8.946	285	8.972	427
8.998	346	9.022	473
9.048	404	9.073	511
9.099	469	9.123	565
9.149	522	9.175	610
9.200	574	9.225	655
9.250	620	9.276	687
9.302	657	9.326	713
9.352	691	9.377	729
9.403	698	9.428	740
9.453	698	9.479	734
9.504	675	9.529	728
9.555	647	9.580	698
9.606	606	9.630	676
9.656	561	9.682	627
9.707	504	9.732	590
9.757	442	9.783	550
9.809	380	9.833	505
9.859	318	9.884	452
9.910	262	9.934	412
9.960	223	9.986	382
10.011	181	10.037	347
10.061	161	10.087	326
10.113	153	10.138	320
10.163	158	10.188	321
