#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	277	0.050	363
0.076	215	0.102	316
0.127	174	0.152	288
0.177	136	0.203	262
0.229	110	0.253	265
0.279	120	0.304	278
0.330	0	0.354	294
0.380	157	0.406	329
0.431	202	0.457	369
0.481	255	0.507	420
0.533	322	0.558	476
0.583	379	0.608	528
0.634	456	0.660	584
0.684	518	0.710	647
0.735	585	0.761	684
0.786	642	0.811	728
0.837	681	0.862	759
0.887	713	0.913	771
0.938	729	0.964	773
0.988	726	1.014	767
1.040	714	1.065	741
1.090	685	1.115	719
1.141	642	1.167	671
1.191	596	1.217	630
1.242	521	1.268	577
1.292	472	1.318	516
1.344	396	1.369	466
1.394	335	1.419	412
1.445	263	1.471	364
1.495	213	1.521	323
1.546	168	1.572	293
1.597	140	1.622	276
1.648	116	1.673	274
1.698	167	1.724	281
1.749	38	1.775	298
1.799	165	1.825	333
1.851	208	1.876	373
1.901	264	1.926	426
1.952	332	1.978	477
2.002	396	2.028	528
2.053	462	2.079	585
2.103	538	2.129	637
2.155	585	2.180	685
2.205	637	2.230	726
2.256	680	2.282	750
2.306	711	2.332	760
2.357	731	2.383	766
2.408	730	2.433	758
2.459	706	2.484	742
2.509	674	2.535	717
2.560	636	2.586	672
2.610	583	2.636	629
2.662	522	2.687	577
2.712	457	2.737	527
2.763	396	2.789	470
2.813	314	2.839	415
2.864	262	2.890	367
2.914	213	2.940	335
2.966	166	2.991	300
3.016	142	3.041	281
3.067	117	3.093	282
3.117	144	3.143	286
3.168	13	3.194	314
3.219	181	3.244	339
3.270	227	3.295	371
3.321	276	3.346	418
3.371	341	3.397	477
3.422	413	3.447	530
3.473	475	3.498	587
3.524	535	3.548	626
3.574	594	3.600	677
3.625	643	3.650	716
3.675	683	3.701	744
3.727	708	3.751	767
3.777	724	3.802	769
3.828	712	3.852	757
3.878	705	3.904	740
3.929	664	3.954	718
3.979	627	4.005	674
4.031	575	4.055	631
4.081	510	4.106	582
4.132	446	4.157	528
4.182	382	4.208	470
4.233	315	4.258	425
4.284	249	4.309	380
4.335	203	4.359	335
4.385	174	4.411	304
4.436	142	4.461	284
4.486	129	4.512	281
4.538	139	4.562	293
4.588	17	4.613	302
4.639	185	4.663	325
4.689	227	4.715	368
4.740	282	4.765	417
4.790	349	4.816	469
4.842	413	4.866	526
4.892	484	4.917	573
4.943	538	4.968	632
4.993	595	5.019	679
5.044	642	5.069	710
5.095	688	5.120	736
5.146	703	5.170	759
5.196	717	5.222	762
5.247	711	5.272	756
5.297	694	5.323	739
5.349	660	5.373	709
5.399	611	5.424	671
5.450	558	5.474	627
5.500	501	5.526	578
5.551	433	5.576	530
5.601	375	5.627	472
5.653	315	5.677	418
5.703	253	5.728	373
5.754	209	5.779	342
5.804	172	5.830	303
5.855	145	5.880	289
