#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:13:37 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	583	0.050	478
0.076	622	0.101	479
0.127	653	0.152	480
0.177	673	0.203	482
0.228	682	0.253	481
0.279	681	0.304	481
0.330	669	0.355	482
0.380	647	0.406	481
0.431	615	0.457	482
0.481	575	0.507	480
0.533	531	0.558	479
0.583	481	0.608	480
0.634	434	0.659	478
0.684	385	0.710	477
0.735	342	0.761	475
0.785	304	0.811	475
0.837	277	0.862	475
0.887	256	0.912	474
0.938	249	0.964	472
0.988	249	1.014	473
1.039	260	1.065	473
1.090	284	1.115	473
1.141	315	1.166	473
1.191	354	1.217	474
1.242	398	1.268	474
1.292	446	1.318	476
1.344	494	1.369	476
1.394	542	1.419	478
1.445	584	1.470	478
1.495	622	1.521	480
1.546	651	1.572	481
1.596	671	1.622	481
1.648	678	1.673	483
1.698	678	1.723	482
1.749	664	1.775	481
1.799	642	1.825	481
1.850	610	1.876	481
1.901	571	1.926	480
1.952	527	1.977	479
2.002	478	2.028	477
2.053	431	2.079	477
2.103	383	2.129	475
2.155	342	2.180	474
2.205	305	2.230	473
2.256	276	2.281	473
2.306	258	2.332	472
2.357	251	2.383	471
2.407	253	2.433	472
2.459	265	2.484	471
2.509	288	2.534	472
2.560	319	2.586	473
2.610	359	2.636	475
2.661	402	2.687	475
2.712	450	2.737	478
2.763	496	2.788	477
2.813	543	2.839	480
2.864	586	2.890	479
2.914	622	2.940	480
2.966	649	2.991	482
3.016	669	3.041	481
3.067	675	3.093	482
3.117	675	3.143	484
3.168	661	3.194	482
3.218	637	3.244	480
3.270	605	3.295	480
3.320	566	3.345	479
3.371	523	3.397	479
3.421	474	3.447	476
3.472	428	3.498	477
3.523	381	3.548	475
3.574	341	3.599	474
3.624	305	3.650	474
3.675	279	3.701	473
3.725	261	3.751	472
3.777	254	3.802	472
3.827	256	3.852	473
3.878	270	3.904	472
3.928	294	3.954	474
3.979	324	4.005	473
4.029	363	4.055	476
4.081	406	4.106	476
4.131	453	4.156	477
4.182	499	4.208	478
4.232	545	4.258	480
4.283	586	4.309	480
4.334	621	4.359	481
4.385	648	4.410	481
4.435	666	4.461	482
4.486	672	4.512	482
4.536	670	4.562	483
4.588	656	4.613	482
4.638	633	4.663	480
4.689	601	4.715	479
4.739	561	4.765	479
4.790	518	4.816	478
4.840	472	4.866	477
4.892	424	4.917	476
4.942	381	4.967	473
4.993	340	5.019	474
5.043	304	5.069	473
5.094	281	5.120	472
5.145	263	5.170	473
5.196	258	5.221	472
5.246	260	5.272	474
5.297	274	5.323	472
5.347	297	5.373	474
5.399	328	5.424	474
5.449	367	5.474	476
5.500	409	5.526	476
5.550	458	5.576	478
5.601	503	5.627	479
5.651	548	5.677	481
5.703	587	5.728	480
5.753	622	5.778	481
5.804	647	5.830	481
5.854	664	5.880	483
5.905	670	5.931	481
5.956	666	5.981	480
6.007	651	6.032	480
6.057	628	6.083	480
6.108	595	6.134	479
6.158	556	6.184	478
6.210	514	6.235	477
6.260	468	6.285	475
6.311	421	6.337	475
6.361	377	6.387	474
6.412	338	6.438	475
6.462	304	6.488	474
6.514	279	6.539	472
6.564	265	6.589	472
6.615	261	6.641	472
6.665	263	6.691	473
6.716	279	6.742	473
6.768	302	6.792	475
6.818	334	6.843	475
6.869	372	6.894	476
6.919	415	6.945	477
6.970	461	6.995	480
7.021	507	7.046	479
7.072	550	7.096	480
7.122	590	7.148	481
7.173	621	7.198	482
7.223	646	7.249	482
7.275	661	7.299	481
7.325	667	7.350	480
7.376	663	7.400	481
7.426	646	7.452	480
7.477	624	7.502	479
7.527	590	7.553	478
7.579	551	7.603	477
7.629	509	7.654	476
7.680	463	7.705	476
7.730	420	7.756	475
7.781	376	7.806	473
7.832	339	7.857	474
7.883	307	7.907	472
7.933	282	7.959	473
7.984	267	8.009	473
8.034	264	8.060	473
8.086	267	8.110	473
8.136	283	8.161	474
8.187	306	8.211	474
8.237	338	8.263	477
8.288	376	8.313	477
8.338	418	8.364	477
8.390	463	8.414	479
8.440	509	8.465	478
8.491	550	8.516	481
8.541	589	8.567	481
8.592	624	8.617	481
8.643	646	8.668	481
8.694	659	8.718	481
8.744	664	8.770	480
8.795	660	8.820	479
8.845	642	8.871	480
8.897	619	8.921	478
8.947	586	8.972	478
8.998	548	9.022	477
9.048	505	9.074	476
9.099	460	9.124	476
9.149	416	9.175	475
9.201	375	9.225	473
9.251	338	9.276	474
9.302	305	9.327	473
9.352	283	9.378	473
9.403	271	9.428	473
9.454	266	9.479	473
9.505	270	9.529	475
9.555	287	9.581	475
9.606	311	9.631	476
9.656	344	9.682	477
9.708	381	9.732	478
9.758	425	9.783	479
9.809	468	9.833	480
9.859	511	9.885	479
9.910	554	9.936	481
9.960	589	9.986	480
10.012	622	10.037	481
10.062	645	10.087	481
10.113	656	10.139	480
10.163	660	10.189	480
10.214	654	10.240	480
10.265	638	10.290	478
10.316	613	10.341	478
10.366	582	10.392	478
10.417	543	10.443	476
10.467	500	10.493	476
10.519	456	10.544	474
10.569	413	10.594	475
10.620	372	10.646	473
10.670	336	10.696	474
10.721	305	10.747	473
10.771	284	10.797	474
10.823	272	10.848	474
10.873	268	10.898	475
10.924	274	10.950	474
10.974	290	11.000	475
11.025	315	11.051	477
11.076	348	11.101	477
11.127	385	11.152	480
11.177	427	11.203	479
11.228	470	11.254	480
11.278	514	11.304	479
11.330	555	11.355	481
11.380	592	11.405	480
11.431	622	11.457	481
11.481	643	11.507	480
11.532	654	11.558	480
11.582	657	11.608	479
11.634	652	11.659	479
11.684	634	11.709	478
11.735	610	11.761	476
11.785	576	11.811	476
11.836	539	11.862	475
11.887	496	11.912	475
11.938	453	11.963	474
11.988	411	12.014	475
12.039	370	12.065	474
12.089	335	12.115	474
12.141	306	12.166	474
12.191	285	12.216	474
12.242	274	12.268	474
12.292	269	12.318	477
12.343	278	12.369	475
12.393	297	12.419	478
12.445	321	12.470	478
12.495	353	12.520	479
12.546	390	12.572	479
12.596	432	12.622	479
12.647	474	12.673	480
12.698	517	12.723	480
12.749	555	12.774	480
12.799	591	12.825	478
12.850	620	12.876	479
12.900	640	12.926	478
12.952	652	12.977	479
13.002	656	13.027	478
13.053	647	13.079	477
13.103	629	13.129	478
13.154	605	13.180	476
13.205	572	13.230	476
13.256	535	13.281	475
13.306	493	13.331	475
13.357	451	13.383	475
13.407	409	13.433	475
13.458	369	13.484	474
13.509	334	13.534	475
13.560	305	13.585	474
13.610	288	13.636	475
13.661	277	13.687	475
13.711	275	13.737	476
13.763	282	13.788	477
13.813	299	13.838	477
13.864	325	13.890	478
13.914	356	13.940	477
13.965	394	13.991	479
14.016	436	14.041	479
14.067	477	14.092	480
14.117	519	14.142	479
14.168	558	14.194	479
14.218	593	14.244	479
14.269	621	14.295	479
14.320	640	14.345	479
14.371	650	14.396	478
14.422	651	14.447	477
14.472	644	14.498	478
14.523	625	14.548	476
14.574	600	14.599	476
14.625	566	14.649	474
14.675	530	14.701	476
14.726	489	14.751	475
14.776	447	14.802	475
14.828	405	14.852	476
14.878	367	14.903	473
14.929	334	14.953	475
14.979	306	15.005	475
15.030	288	15.055	477
15.080	279	15.106	475
15.132	278	15.156	477
15.182	286	15.207	477
15.233	303	15.258	478
15.283	328	15.309	478
15.334	362	15.359	479
15.385	399	15.410	479
