#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:28:29 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	493	0.052	556
0.077	493	0.102	554
0.127	494	0.153	556
0.178	494	0.203	555
0.229	494	0.254	555
0.280	493	0.304	556
0.330	493	0.356	556
0.381	494	0.406	556
0.431	493	0.457	556
0.483	495	0.507	556
0.533	494	0.558	556
0.584	493	0.609	556
0.634	494	0.660	556
0.685	493	0.710	555
0.736	494	0.761	556
0.787	493	0.811	556
0.837	493	0.863	555
0.888	494	0.913	556
0.938	495	0.964	556
0.989	493	1.014	556
1.040	494	1.065	555
1.091	493	1.115	556
1.141	493	1.167	556
1.192	493	1.217	555
1.242	493	1.268	556
1.294	493	1.318	556
1.344	493	1.369	556
1.395	495	1.420	555
1.445	493	1.471	556
1.496	492	1.521	556
1.547	491	1.572	556
1.598	494	1.622	555
1.648	494	1.674	556
1.699	494	1.724	555
1.749	493	1.775	556
1.801	494	1.825	557
1.851	495	1.876	556
1.902	493	1.926	556
1.952	495	1.978	555
2.003	493	2.028	557
2.053	494	2.079	556
2.105	493	2.130	556
2.155	493	2.180	556
2.206	494	2.232	556
2.256	494	2.282	556
2.307	493	2.333	558
2.358	493	2.383	555
2.409	493	2.434	556
2.459	492	2.485	557
2.510	495	2.536	556
2.560	493	2.586	555
2.612	494	2.637	556
2.662	493	2.687	555
2.713	494	2.738	556
2.763	494	2.789	556
2.814	494	2.840	556
2.864	494	2.890	555
2.916	493	2.941	556
2.966	493	2.991	556
3.017	493	3.043	558
3.067	492	3.093	555
3.118	494	3.144	556
3.169	494	3.194	556
3.220	493	3.245	556
3.270	494	3.296	556
3.321	492	3.347	556
3.371	493	3.397	555
3.423	492	3.448	556
3.473	494	3.498	555
3.524	493	3.549	556
3.574	494	3.600	556
3.625	495	3.651	556
3.675	494	3.701	557
3.727	495	3.752	555
3.777	494	3.802	556
3.828	495	3.854	555
3.878	494	3.904	557
3.929	494	3.955	556
3.980	494	4.005	556
4.031	494	4.056	557
4.081	494	4.107	555
4.132	493	4.158	557
4.182	493	4.208	555
4.234	493	4.259	556
4.284	494	4.309	556
4.335	494	4.361	555
4.385	493	4.411	554
4.436	493	4.462	556
4.486	494	4.512	555
4.538	493	4.563	555
4.588	494	4.613	556
4.639	494	4.665	556
4.689	494	4.715	556
4.740	494	4.766	556
4.791	493	4.816	556
4.842	494	4.867	556
4.892	495	4.918	557
4.943	494	4.969	555
4.993	494	5.019	557
5.045	494	5.070	556
