#Creator: pendulumdriveEventBuffer
#Creation time: Tue Mar 21 16:00:21 2017
#Time	Pos
#[s]	[au]
0.050	378
0.101	388
0.151	402
0.201	416
0.251	438
0.301	458
0.351	477
0.402	499
0.452	512
0.502	532
0.552	544
0.602	547
0.652	556
0.703	547
0.754	545
0.804	537
0.854	519
0.904	508
0.955	489
1.005	468
1.055	453
1.105	437
1.155	420
1.205	410
1.256	401
1.306	398
1.356	399
1.406	400
1.456	408
1.506	417
1.557	429
1.607	445
1.658	457
1.708	477
1.758	492
1.809	502
1.859	518
1.909	522
1.959	532
2.009	537
2.059	530
2.110	532
2.160	525
2.210	512
2.260	504
2.310	486
2.360	474
2.411	462
2.461	446
2.511	436
2.562	425
2.612	416
2.663	411
2.713	408
2.763	409
2.813	414
2.863	419
2.913	428
2.964	441
3.014	451
3.064	467
3.114	477
3.164	494
3.215	506
3.265	513
3.315	526
3.365	529
3.415	529
3.466	533
3.517	522
3.567	519
3.617	510
3.667	493
3.717	484
3.767	469
3.818	452
3.868	441
3.918	426
3.968	416
4.018	410
4.069	405
4.119	405
4.169	408
4.219	413
4.269	424
4.319	434
4.371	449
4.421	466
4.471	478
4.521	500
4.571	512
4.621	522
4.672	535
4.722	535
4.772	542
4.822	540
4.872	528
4.923	524
4.973	510
5.023	491
5.073	477
5.123	457
5.173	440
5.224	426
5.275	411
5.325	403
5.375	397
5.425	394
5.476	396
5.526	402
5.576	412
5.626	429
5.676	442
5.726	463
5.777	481
5.827	498
5.877	518
5.927	526
5.977	543
6.027	546
6.078	545
6.128	549
6.179	538
6.229	526
6.279	515
6.330	491
6.380	476
6.430	456
6.480	436
6.530	420
6.580	409
6.631	394
6.681	390
6.731	388
6.781	392
6.831	400
6.881	411
6.932	429
6.982	447
7.032	464
7.083	488
7.133	501
7.184	523
7.234	536
7.284	541
7.334	552
7.384	544
7.434	545
7.485	539
7.535	522
7.585	511
7.635	492
7.685	470
7.735	454
7.786	435
7.836	417
7.886	407
7.936	398
7.987	394
8.038	393
8.088	396
8.138	407
8.188	417
8.238	432
8.288	450
8.339	466
8.389	487
8.439	502
8.489	514
8.539	531
8.589	532
8.640	539
8.690	542
8.740	533
8.790	531
8.840	519
8.892	501
8.942	490
8.992	470
9.042	456
9.092	443
9.142	428
9.193	420
9.243	413
9.293	407
9.343	408
9.393	409
9.444	416
9.494	426
9.544	434
9.594	449
9.644	463
9.694	474
9.745	490
9.796	497
9.846	510
9.896	519
9.946	519
9.996	526
10.047	524
10.097	518
10.147	515
10.197	501
10.247	495
10.298	486
10.348	471
10.398	461
10.448	451
10.498	439
10.548	434
10.599	426
10.649	421
10.700	422
10.750	421
10.800	427
10.850	431
10.901	438
10.951	448
11.001	456
11.051	467
11.101	479
11.152	486
11.202	500
11.252	507
11.302	511
11.352	518
11.402	515
11.453	519
11.503	516
11.554	506
11.604	504
11.654	493
11.704	480
11.755	472
11.805	457
11.855	448
11.905	438
11.955	427
12.006	423
12.056	420
12.106	417
12.156	419
12.206	421
12.256	429
12.307	440
12.357	448
12.407	464
12.458	477
12.508	487
12.559	503
12.609	509
12.659	522
12.709	528
12.759	527
12.809	530
12.860	524
12.910	516
12.960	508
13.010	491
13.060	480
13.110	466
13.161	449
13.211	437
13.261	428
13.311	415
13.362	410
13.413	406
13.463	406
13.513	411
13.563	419
13.613	433
13.663	446
13.714	458
13.764	477
13.814	488
13.864	509
13.914	521
13.964	525
14.015	537
14.065	532
14.115	536
14.165	531
14.215	517
14.267	510
14.317	495
14.367	475
14.417	462
14.467	447
14.517	430
14.568	420
14.618	409
14.668	405
14.718	404
14.768	404
14.818	412
14.869	423
14.919	434
14.969	450
15.019	462
15.069	483
15.120	498
15.171	507
15.221	522
15.271	525
15.321	532
15.371	535
15.422	527
15.472	526
15.522	514
15.572	498
15.622	490
15.672	471
15.723	457
15.773	445
15.823	432
15.873	425
15.923	417
15.974	414
16.024	414
16.075	416
16.125	422
16.175	432
16.225	440
16.276	454
16.326	466
16.376	476
16.426	492
16.476	498
16.527	508
16.577	516
16.627	514
16.677	521
16.727	518
16.777	510
16.828	508
16.878	495
16.928	489
16.979	480
17.029	466
17.079	459
17.130	450
17.180	440
17.230	436
17.280	430
17.330	428
17.381	428
17.431	429
17.481	435
17.531	441
17.581	445
17.631	455
17.682	460
17.732	472
17.782	482
17.832	486
17.883	497
17.933	503
17.984	505
18.034	510
18.084	506
18.134	509
18.184	507
18.235	498
18.285	495
18.335	488
18.385	477
18.435	470
18.485	457
18.536	450
18.586	442
18.636	434
18.686	431
18.736	428
18.788	426
18.838	428
18.888	430
18.938	436
18.988	446
19.038	453
19.089	467
19.139	477
19.189	485
19.239	498
19.289	503
19.339	515
19.390	520
19.440	516
19.490	521
19.540	516
19.590	509
19.640	502
19.692	488
19.742	479
19.792	467
19.842	451
19.892	441
19.943	432
19.993	422
20.043	417
20.093	413
20.143	414
20.193	421
20.244	425
20.294	437
20.344	450
20.394	461
20.444	477
20.495	487
20.545	504
20.596	515
20.646	519
20.696	529
20.746	529
20.797	526
20.847	524
20.897	512
20.947	505
20.997	490
21.047	474
21.098	462
21.148	449
