#Creator: pendulumdriveEventBuffer
#Creation time: Tue Mar 21 16:00:21 2017
#Time	Pos
#[s]	[au]
0.050	548
0.101	538
0.151	518
0.201	497
0.251	477
0.301	450
0.351	426
0.402	406
0.452	385
0.502	368
0.552	365
0.602	353
0.653	353
0.703	358
0.753	369
0.803	387
0.853	407
0.903	430
0.955	455
1.005	479
1.055	507
1.105	525
1.155	542
1.205	559
1.256	560
1.306	567
1.356	556
1.406	546
1.456	535
1.507	508
1.557	487
1.607	464
1.657	435
1.707	411
1.757	391
1.808	374
1.859	363
1.909	356
1.959	354
2.009	361
2.060	371
2.110	386
2.160	405
2.210	428
2.260	454
2.310	475
2.361	498
2.411	521
2.461	531
2.511	547
2.561	548
2.611	549
2.662	550
2.712	536
2.763	523
2.813	509
2.863	487
2.914	469
2.964	444
3.014	426
3.064	409
3.114	394
3.164	383
3.215	375
3.265	373
3.315	374
3.365	381
3.415	391
3.465	406
3.516	420
3.566	438
3.616	458
3.667	475
3.717	496
3.768	507
3.818	522
3.868	536
3.918	535
3.968	540
4.018	538
4.069	527
4.119	521
4.169	502
4.219	485
4.269	469
4.319	446
4.370	428
4.420	411
4.470	395
4.520	384
4.571	375
4.622	371
4.672	374
4.722	380
4.772	389
4.822	407
4.872	423
4.923	445
4.973	463
5.023	485
5.073	508
5.123	519
5.173	536
5.224	544
5.274	545
5.324	548
5.374	536
5.424	526
5.476	512
5.526	490
5.576	471
5.626	453
5.676	426
5.726	409
5.777	392
5.827	380
5.877	374
5.927	370
5.977	372
6.028	383
6.078	392
6.128	409
6.178	425
6.228	444
6.278	467
6.329	483
6.380	503
6.430	515
6.480	526
6.530	538
6.580	536
6.631	535
6.681	533
6.731	519
6.781	507
6.831	490
6.882	473
6.932	457
6.982	438
7.032	422
7.082	411
7.132	397
7.183	388
7.233	387
7.284	384
7.334	386
7.384	393
7.434	403
7.485	418
7.535	430
7.585	448
7.635	465
7.685	480
7.736	499
7.786	508
7.836	520
7.886	533
7.936	531
7.986	535
8.037	526
