#Creator: pendulumdriveEventBuffer
#Creation time: Tue Mar 21 16:00:21 2017
#Time	Pos
#[s]	[au]
0.050	428
0.100	453
0.151	478
0.201	505
0.251	527
0.301	548
0.351	563
0.401	565
0.452	576
0.502	574
0.552	562
0.602	551
0.652	531
0.704	512
0.754	489
0.804	460
0.854	441
0.904	418
0.954	399
1.005	386
1.055	379
1.105	372
1.155	374
1.205	380
1.255	394
1.306	410
1.356	427
1.406	452
1.456	474
1.506	499
1.557	521
1.608	535
1.658	555
1.708	565
1.758	570
1.808	571
1.859	550
1.909	554
1.959	539
2.009	513
2.059	497
2.110	473
2.160	448
2.210	427
2.260	412
2.310	390
2.360	378
2.411	370
2.461	368
2.512	371
2.562	377
2.612	393
2.662	415
2.713	429
2.763	452
2.813	472
2.863	498
2.913	517
2.964	534
3.014	548
3.064	545
3.114	562
3.164	561
3.214	548
3.265	544
3.315	530
3.365	512
3.416	494
3.466	471
3.516	453
3.567	434
3.617	416
3.667	405
3.717	396
3.767	388
3.818	391
3.868	395
3.918	406
3.968	418
4.018	432
4.068	453
4.119	471
4.169	491
4.219	509
4.269	518
4.320	538
4.370	546
4.421	545
4.471	550
4.521	544
4.571	535
4.621	522
4.672	498
4.722	487
4.772	467
4.822	444
4.872	430
4.922	413
4.973	398
5.023	389
5.073	382
5.123	383
5.173	387
5.225	392
5.275	408
5.325	425
5.375	441
5.425	463
5.475	477
5.526	503
5.576	520
5.626	531
5.676	547
5.726	553
5.776	558
5.827	556
5.877	540
5.927	539
5.977	525
6.027	505
6.078	491
6.129	471
6.179	452
6.229	436
6.279	417
6.329	408
6.380	399
6.430	393
6.480	395
6.530	400
6.580	408
6.630	420
6.681	431
6.731	451
6.781	468
6.831	484
6.881	502
6.932	515
6.982	529
7.033	537
7.083	534
7.133	542
7.183	537
7.234	526
7.284	518
7.334	503
7.384	486
7.434	468
7.484	447
7.535	434
7.585	419
7.635	404
7.685	400
7.735	395
7.786	394
7.836	396
7.887	402
7.937	416
7.987	431
8.037	445
8.088	467
8.138	485
8.188	505
8.238	521
8.288	529
8.338	545
8.389	552
8.439	553
8.489	553
8.539	544
8.589	537
8.640	525
8.690	502
8.740	490
8.791	471
8.841	449
8.891	435
8.942	422
8.992	407
9.042	399
9.092	391
9.142	393
9.193	396
9.243	401
9.293	414
9.343	433
9.393	445
9.443	462
9.494	475
9.544	496
9.594	511
9.644	521
9.695	532
9.745	527
9.796	540
9.846	537
9.896	525
9.946	521
9.996	509
10.047	492
10.097	478
10.147	459
10.197	445
10.247	431
10.297	416
10.348	410
10.398	404
10.448	400
10.498	404
10.548	415
10.599	421
10.650	433
10.700	445
10.750	464
10.800	481
10.850	497
10.901	514
10.951	518
11.001	537
