#Creator: pendulumdriveEventBuffer
#Creation time: Tue Mar 21 16:00:21 2017
#Time	Pos
#[s]	[au]
0.050	496
0.101	496
0.151	495
0.201	496
0.251	496
0.301	496
0.352	496
0.402	495
0.452	497
0.502	496
0.552	496
0.602	498
0.654	497
0.704	497
0.754	496
0.804	497
0.854	497
0.905	497
0.955	496
1.005	497
1.055	497
1.105	497
1.155	497
1.206	497
1.256	497
1.306	497
1.356	497
1.406	495
1.456	497
1.508	496
1.558	496
1.608	498
1.658	496
1.708	497
1.759	495
1.809	497
1.859	495
1.909	497
1.959	496
2.009	496
2.060	497
2.110	496
2.160	497
2.210	497
2.260	495
2.310	497
2.361	496
2.412	496
2.462	496
2.512	497
2.562	497
2.613	496
2.663	497
2.713	496
2.763	497
2.813	497
2.863	497
2.914	497
2.964	497
3.014	497
3.064	496
3.114	497
3.164	496
3.215	497
3.265	497
3.316	497
3.366	497
3.416	497
3.467	496
3.517	497
3.567	495
3.617	498
3.667	496
3.717	496
3.768	497
3.818	497
3.868	496
3.918	497
3.968	497
4.018	496
4.069	497
4.119	496
4.169	497
4.220	498
4.270	498
4.321	497
4.371	497
4.421	498
4.471	497
4.521	497
4.571	496
4.622	496
4.672	496
4.722	496
4.772	496
4.822	496
4.873	496
4.923	496
4.973	496
5.023	496
5.073	497
5.124	496
5.175	495
5.225	495
5.275	496
5.325	497
5.375	496
5.425	496
5.476	496
5.526	497
5.576	497
5.626	497
5.676	497
5.727	497
5.777	497
5.827	497
5.877	497
5.927	497
5.977	498
6.029	497
6.079	497
6.129	496
6.179	496
6.229	497
6.279	496
6.330	496
6.380	496
6.430	497
6.480	496
6.530	497
6.581	496
6.631	496
6.681	496
6.731	497
6.781	495
6.831	497
6.882	497
6.933	497
6.983	497
7.033	498
7.083	497
7.133	498
7.184	497
7.234	497
7.284	499
7.334	497
7.384	498
7.435	498
7.485	497
7.535	498
7.585	497
7.635	497
7.685	497
7.736	496
7.786	496
7.837	497
7.887	497
7.937	496
7.988	497
8.038	496
8.088	497
8.138	496
8.188	496
8.238	496
8.289	495
8.339	496
8.389	496
8.439	497
8.489	496
8.539	497
8.590	498
8.640	496
8.690	497
8.741	496
8.791	496
8.842	498
8.892	498
8.942	497
8.992	498
9.042	497
9.092	497
9.143	497
9.193	497
9.243	497
9.293	497
9.343	496
9.393	496
9.444	496
9.494	496
9.544	496
9.594	496
9.645	496
9.696	496
9.746	496
9.796	497
9.846	496
9.896	496
9.946	497
9.997	496
10.047	497
10.097	497
10.147	497
10.197	498
10.247	497
10.298	497
10.348	497
10.398	497
10.448	497
10.498	497
10.550	497
10.600	496
10.650	496
10.700	497
10.750	496
10.800	497
10.851	496
10.901	496
10.951	497
11.001	496
11.051	496
11.101	497
11.152	497
11.202	497
11.252	496
11.302	497
11.352	497
11.403	497
11.454	497
11.504	497
11.554	497
11.604	497
11.654	497
11.705	497
11.755	497
11.805	496
11.855	497
11.905	497
11.956	497
12.006	497
12.056	497
12.106	497
12.156	497
12.206	496
12.257	497
12.308	497
12.358	497
12.408	497
12.458	497
12.508	496
12.559	496
12.609	496
12.659	497
12.709	496
12.759	497
12.810	496
12.860	496
12.910	496
12.960	496
13.010	496
13.060	497
13.111	496
13.161	497
13.212	497
13.262	497
13.312	497
13.362	497
13.413	497
13.463	497
13.513	496
13.563	497
13.613	497
13.664	497
13.714	496
13.764	496
13.814	497
13.864	496
13.914	496
13.965	496
14.015	497
14.065	496
14.116	496
14.166	496
14.217	497
14.267	496
14.317	497
14.367	496
14.417	497
14.467	497
14.518	496
14.568	497
14.618	497
14.668	496
14.718	496
14.768	497
14.819	497
14.869	497
14.919	497
14.969	497
15.020	497
15.071	496
15.121	497
15.171	497
15.221	497
15.271	497
15.321	497
15.372	497
15.422	497
15.472	496
15.522	497
15.572	496
15.622	496
15.673	497
15.723	496
15.773	498
15.823	496
15.873	497
15.925	495
15.975	497
16.025	496
16.075	497
16.125	497
