#Creator: pendulumdriveEventBuffer
#Creation time: Tue Mar 21 16:00:21 2017
#Time	Pos
#[s]	[au]
0.050	527
0.100	504
0.150	491
0.200	470
0.251	445
0.302	429
0.352	409
0.402	388
0.452	377
0.503	367
0.553	360
0.603	359
0.653	361
0.703	371
0.753	383
0.804	396
0.854	416
0.904	432
0.954	457
1.004	478
1.054	492
1.105	515
1.156	528
1.206	535
1.256	547
1.306	540
1.357	546
1.407	539
1.457	522
1.507	513
1.557	494
1.607	472
1.658	454
1.708	430
1.758	414
1.808	397
1.858	381
1.909	371
1.959	366
2.009	360
2.060	364
2.110	368
2.160	381
2.211	395
2.261	409
2.311	432
2.361	452
2.411	470
2.461	492
2.512	503
2.562	525
2.612	536
2.662	537
2.712	546
2.763	536
2.813	536
2.863	529
2.913	508
2.964	498
3.014	481
3.065	456
3.115	441
3.165	422
3.215	400
3.265	387
3.315	374
3.366	368
3.416	364
3.466	363
3.516	370
3.566	383
3.617	391
3.667	408
3.717	422
3.767	446
3.817	466
3.868	480
3.919	502
3.969	512
4.019	529
4.069	540
4.119	535
4.170	543
4.220	538
4.270	525
4.320	518
4.370	497
4.420	483
4.471	466
4.521	443
4.571	427
4.621	409
4.671	391
4.721	381
4.773	371
4.823	365
4.873	367
4.923	369
4.973	379
5.024	390
5.074	402
5.124	422
5.174	437
5.224	458
5.274	479
5.325	490
5.375	512
5.425	525
5.475	528
5.525	539
5.575	533
5.626	537
5.677	530
5.727	513
5.777	506
5.827	489
5.878	467
5.928	453
5.978	430
6.028	416
6.078	400
6.128	386
6.179	378
6.229	373
6.279	368
6.329	372
6.379	377
6.429	386
6.480	402
6.530	415
6.581	435
6.631	453
6.681	468
6.732	490
6.782	498
6.832	518
6.882	528
6.932	528
6.982	537
7.033	536
7.083	530
7.133	521
7.183	508
7.233	493
7.283	476
7.334	458
7.384	440
7.434	423
7.485	407
7.535	394
7.586	383
7.636	377
7.686	373
7.736	375
7.786	380
7.836	388
7.887	400
7.937	415
7.987	431
8.037	448
8.087	466
8.138	483
8.188	499
8.238	513
8.288	523
8.339	530
8.389	534
8.440	533
8.490	529
8.540	520
8.590	509
8.640	496
8.690	480
8.741	463
8.791	446
8.841	428
8.891	413
8.941	399
8.992	389
9.042	382
9.092	378
9.142	378
9.192	381
9.243	389
9.294	399
9.344	413
9.394	428
9.444	444
9.494	462
9.544	478
9.595	494
9.645	507
9.695	518
9.745	526
9.795	530
9.846	530
9.896	527
9.946	521
9.996	510
10.046	498
10.096	483
10.148	467
10.198	450
10.248	434
10.298	418
10.348	405
10.398	393
10.449	386
10.499	382
10.549	381
10.599	383
10.649	390
10.700	399
10.750	411
10.800	425
10.850	441
10.900	457
10.950	473
11.001	488
11.052	501
11.102	512
11.152	521
11.202	526
11.253	527
11.303	525
11.353	519
11.403	510
11.453	499
11.503	485
11.554	470
11.604	454
11.654	438
11.704	424
11.754	410
11.804	399
11.855	391
11.905	386
11.956	384
12.006	386
12.056	390
12.107	399
12.157	410
12.207	423
12.257	437
12.307	453
12.357	468
12.408	483
12.458	496
12.508	508
12.558	516
12.608	522
12.658	524
12.709	523
12.759	518
12.809	511
12.860	500
12.910	487
12.961	472
13.011	458
13.061	443
13.111	429
13.161	415
13.211	404
13.262	395
13.312	389
13.362	387
13.412	388
13.462	392
13.512	399
13.563	410
13.613	422
13.663	435
13.713	450
13.764	465
13.815	479
13.865	492
13.915	503
13.965	512
14.015	519
14.065	521
14.116	520
14.166	517
14.216	510
14.266	501
14.316	489
14.366	475
14.417	461
14.467	446
14.517	432
14.567	419
14.617	408
14.669	399
14.719	393
14.769	390
14.819	390
14.869	394
14.919	400
14.970	409
15.020	420
15.070	433
15.120	447
15.170	461
15.221	475
15.271	488
15.321	499
15.371	508
15.421	515
15.471	518
15.522	519
15.573	516
15.623	509
15.673	501
15.723	490
15.773	477
15.824	464
15.874	449
15.924	435
15.974	423
16.024	411
16.075	402
16.125	396
16.175	392
16.225	392
16.275	394
16.325	400
16.376	408
16.426	419
16.477	431
16.527	445
16.577	458
16.627	472
16.678	485
16.728	496
16.778	505
16.828	512
16.878	516
16.929	516
16.979	515
17.029	509
17.079	501
17.129	491
17.179	479
17.230	466
17.280	453
17.330	439
17.381	426
17.431	415
17.482	406
17.532	399
17.582	394
17.632	393
17.682	396
17.732	400
17.783	408
17.833	418
17.883	429
17.933	442
17.983	456
18.033	469
18.084	481
18.134	493
18.184	502
18.234	509
18.285	513
18.336	515
18.386	513
18.436	509
18.486	502
18.536	492
18.586	481
18.637	469
18.687	456
18.737	442
18.787	430
18.837	419
18.887	409
18.938	403
18.988	398
19.038	395
19.088	397
19.138	400
19.190	407
19.240	417
19.290	427
19.340	439
19.390	452
19.440	465
19.491	478
19.541	489
19.591	498
19.641	506
19.691	510
19.741	513
19.792	512
19.842	508
19.892	502
19.942	493
19.992	483
20.044	471
20.094	459
20.144	445
20.194	433
20.244	423
20.294	412
20.345	405
20.395	400
20.445	398
20.495	398
20.545	401
20.595	408
20.646	415
20.696	426
20.746	437
20.796	450
20.846	462
20.897	474
20.948	486
20.998	495
21.048	503
21.098	508
21.148	510
21.199	510
21.249	508
21.299	502
21.349	494
21.399	484
21.450	473
21.500	461
21.550	449
21.600	437
21.650	426
21.700	416
21.751	408
21.801	403
21.852	400
21.902	400
21.952	402
22.002	408
22.053	415
22.103	425
22.153	435
22.203	447
22.253	459
22.304	471
22.354	482
22.404	492
22.454	500
22.504	506
22.554	508
22.605	509
22.655	506
22.705	502
22.756	495
22.806	485
22.856	475
22.907	464
22.957	452
23.007	440
23.057	429
23.107	419
23.158	411
23.208	406
23.258	402
23.308	401
23.358	403
23.408	408
23.459	414
23.509	423
23.559	433
23.609	444
23.660	456
23.710	468
23.761	479
23.811	488
23.861	497
23.911	503
23.961	507
24.012	508
24.062	506
24.112	502
24.162	495
24.212	487
24.262	477
24.313	466
24.363	455
24.413	443
24.463	433
24.513	422
24.565	414
24.615	408
24.665	404
24.715	403
24.765	403
24.815	408
24.866	414
24.916	422
24.966	431
25.016	442
25.066	453
25.116	464
25.167	476
25.217	485
25.267	493
25.317	500
25.367	504
25.418	506
25.469	505
25.519	501
25.569	496
25.619	489
25.669	479
25.720	469
25.770	458
25.820	446
25.870	435
25.920	426
25.970	417
26.021	411
26.071	406
26.121	405
26.171	406
26.221	409
26.272	413
26.322	421
26.373	430
26.423	440
26.473	451
26.523	462
26.574	471
26.624	482
26.674	490
26.724	497
26.774	502
26.824	504
26.875	503
26.925	501
26.975	496
27.025	489
27.075	480
27.126	471
27.176	460
27.226	450
27.277	439
27.327	429
27.377	420
27.428	414
27.478	409
27.528	407
27.578	406
27.628	409
27.678	413
27.729	420
27.779	428
27.829	438
27.879	448
27.929	458
27.980	469
28.030	479
28.080	488
28.130	494
28.181	500
28.231	502
28.282	502
28.332	500
28.382	496
28.432	490
28.482	482
28.533	472
28.583	463
28.633	452
28.683	442
28.733	432
28.783	423
28.834	416
28.884	411
28.934	408
28.984	408
29.034	409
29.085	414
29.136	419
29.186	427
29.236	437
29.286	446
29.336	457
29.387	466
29.437	476
29.487	484
29.537	491
29.587	497
29.637	500
29.688	500
29.738	499
29.788	496
29.838	490
29.888	483
29.938	474
29.990	464
30.040	455
30.090	444
30.140	435
30.190	426
30.241	420
30.291	414
30.341	411
30.391	410
30.441	411
30.491	414
30.542	419
30.592	426
30.642	435
30.692	444
30.742	454
30.792	463
30.843	473
30.894	482
30.944	489
30.994	494
31.044	497
31.095	498
31.145	498
31.195	495
31.245	490
31.295	483
31.345	475
31.396	466
31.446	457
31.496	447
31.546	438
31.596	429
31.646	422
31.697	416
31.747	413
31.798	411
31.848	412
31.898	415
31.949	419
31.999	426
32.049	433
32.099	442
32.149	452
32.199	461
32.250	470
32.300	479
32.350	486
32.400	492
32.450	495
32.501	497
32.551	497
32.601	494
32.651	490
32.702	484
32.752	476
32.803	468
32.853	459
32.903	449
32.953	440
33.003	432
33.053	425
33.104	419
33.154	415
33.204	413
33.254	413
33.304	415
33.355	419
33.405	425
33.455	432
33.505	441
33.556	450
33.606	459
33.657	468
33.707	476
33.757	483
33.807	489
33.857	493
33.907	495
33.958	496
34.008	494
34.058	490
34.108	484
34.158	478
34.209	469
34.259	461
34.309	451
34.359	443
34.409	435
34.460	427
34.511	421
34.561	417
34.611	415
34.661	415
34.711	416
34.762	420
34.812	425
34.862	432
34.912	439
34.962	448
35.012	457
35.063	465
35.113	474
35.163	481
35.213	487
35.263	492
35.313	494
35.365	494
35.415	493
35.465	490
35.515	485
35.565	478
35.616	471
35.666	462
35.716	454
35.766	445
35.816	437
35.866	430
35.917	424
35.967	419
36.017	417
36.067	416
36.117	417
36.167	420
36.218	425
36.269	431
36.319	438
36.369	446
36.419	455
36.470	463
36.520	471
36.570	478
36.620	485
36.670	489
36.720	492
36.771	493
36.821	492
36.871	489
36.921	485
36.971	479
37.021	472
37.072	464
37.122	456
37.173	447
37.223	439
37.273	432
37.324	426
37.374	421
37.424	418
37.474	417
37.524	418
37.574	420
37.625	425
37.675	431
37.725	437
37.775	445
37.825	453
37.875	461
37.926	469
37.976	476
38.026	482
38.077	487
38.127	490
38.178	491
38.228	491
38.278	489
38.328	485
38.378	479
38.428	473
38.479	465
38.529	457
38.579	449
38.629	441
38.679	434
38.730	428
38.780	423
38.830	420
38.880	419
38.930	418
38.981	421
39.032	425
39.082	430
39.132	436
39.182	444
39.232	451
39.282	459
