#Creator: pendulumdriveEventBuffer
#Creation time: Tue Mar 21 16:00:21 2017
#Time	Pos
#[s]	[au]
0.050	595
0.100	589
0.150	578
0.201	563
0.251	544
0.301	525
0.351	503
0.401	482
0.451	460
0.502	442
0.552	425
0.602	411
0.652	403
0.702	398
0.752	400
0.803	404
0.854	415
0.904	429
0.954	446
1.004	466
1.055	487
1.105	510
1.155	531
1.205	550
1.255	567
1.305	580
1.356	589
1.406	594
1.456	594
1.506	589
1.556	579
1.606	565
1.657	549
1.707	528
1.758	507
1.808	486
1.858	464
1.909	446
1.959	427
2.009	415
2.059	406
2.109	400
2.159	400
2.210	407
2.260	414
2.310	427
2.360	444
2.410	463
2.460	484
2.511	505
2.561	525
2.611	546
2.662	563
2.712	577
2.763	586
2.813	591
2.863	592
2.913	589
2.963	581
3.013	568
3.064	551
3.114	533
3.164	512
3.214	490
3.264	469
3.315	449
3.365	432
3.415	419
3.465	408
3.515	403
3.566	401
3.617	406
3.667	413
3.717	426
3.767	441
3.817	460
3.867	480
3.918	501
3.968	522
4.018	542
4.068	558
4.118	573
4.169	583
4.219	590
4.269	590
4.319	588
4.369	580
4.419	568
4.471	553
4.521	536
4.571	515
4.621	495
4.671	474
4.721	454
4.772	436
4.822	422
4.872	412
4.922	406
4.972	404
5.023	406
5.073	412
5.123	423
5.173	438
5.223	456
5.273	475
5.324	497
5.375	517
5.425	537
5.475	555
5.525	569
5.575	580
5.626	587
5.676	590
5.726	587
5.776	581
5.826	571
5.877	556
5.927	539
5.977	520
6.027	499
6.077	478
6.127	459
6.178	441
6.228	426
6.279	415
6.329	407
6.379	403
6.430	405
6.480	412
6.530	423
6.580	437
6.630	454
6.680	472
6.731	492
6.781	513
6.831	533
6.881	551
6.931	566
6.981	577
7.032	585
7.082	588
7.132	587
7.183	582
7.233	572
7.284	557
7.334	542
7.384	523
7.434	503
7.484	482
7.534	463
7.585	446
7.635	429
7.685	417
7.735	410
7.785	406
7.835	407
7.886	412
7.936	422
7.986	434
8.036	450
8.087	469
8.138	489
8.188	509
8.238	528
8.288	546
8.338	561
8.388	573
8.439	581
8.489	585
8.539	585
8.589	580
8.639	572
8.689	560
8.740	543
8.790	525
8.840	506
8.890	487
8.940	467
8.992	450
9.042	434
9.092	422
9.142	414
9.192	410
9.242	409
9.293	413
9.343	421
9.393	433
9.443	448
9.493	465
9.543	485
9.594	504
9.644	523
9.694	541
9.744	558
9.794	568
9.845	579
9.896	583
9.946	583
9.996	579
10.046	572
10.096	561
10.147	546
10.197	529
10.247	511
10.297	490
10.347	472
10.398	454
10.448	438
10.498	426
10.548	417
10.598	412
10.648	410
10.699	413
10.750	421
10.800	433
10.850	446
10.900	464
10.950	481
11.001	500
11.051	519
11.101	536
11.151	552
11.201	565
11.252	574
11.302	580
11.352	582
11.402	579
11.452	572
11.502	562
11.553	548
11.603	531
11.654	513
11.704	495
11.754	477
11.804	459
11.855	443
11.905	428
11.955	421
12.005	415
12.055	413
12.106	415
12.156	421
12.206	432
12.256	444
12.306	461
12.356	478
12.407	497
12.457	515
12.507	533
12.558	548
12.608	561
12.659	571
12.709	577
12.759	579
12.809	577
12.859	572
12.909	561
12.960	548
13.010	533
13.060	516
13.110	498
13.160	479
13.210	463
13.261	447
13.311	434
13.361	425
13.411	417
13.462	416
13.513	416
13.563	422
13.613	431
13.663	444
13.713	459
13.763	475
13.814	493
13.864	511
13.914	529
13.964	544
14.014	557
14.064	567
14.115	574
14.165	577
14.215	575
14.265	571
14.315	562
14.367	550
14.417	535
14.467	519
14.517	501
14.567	482
14.617	467
14.668	450
14.718	438
14.768	427
14.818	420
14.868	418
14.918	418
14.969	422
15.019	431
15.069	442
15.119	457
15.169	473
15.220	491
15.271	509
15.321	525
15.371	540
15.421	555
15.471	564
15.522	572
15.572	574
15.622	573
15.672	570
15.722	562
15.772	550
15.823	537
15.873	521
15.923	504
15.973	486
16.023	469
16.074	454
16.124	441
16.175	431
16.225	423
16.275	419
16.325	420
16.376	424
16.426	431
16.476	442
16.526	456
16.576	471
16.627	487
16.677	505
16.727	521
16.777	538
16.827	550
16.877	561
16.928	569
16.978	572
17.028	572
17.079	568
17.129	562
17.179	551
17.230	538
17.280	523
17.330	505
17.380	490
17.430	473
17.481	457
17.531	444
17.581	433
17.631	426
17.681	421
17.731	421
17.782	424
17.832	431
17.882	441
17.932	454
17.983	469
18.033	485
18.084	502
18.134	519
18.184	534
18.234	547
18.284	558
18.335	566
18.385	570
18.435	571
18.485	568
18.535	562
18.585	552
18.636	540
18.686	525
18.736	509
18.786	493
18.836	477
18.887	461
18.938	448
18.988	437
19.038	429
19.088	424
19.138	423
19.189	425
19.239	431
19.289	440
19.339	452
19.389	467
19.439	483
19.490	498
19.540	514
19.590	530
19.640	543
19.690	554
19.740	562
19.792	567
19.842	569
19.892	567
19.942	560
19.992	551
20.043	540
20.093	527
20.143	511
20.193	495
20.243	480
20.293	464
20.344	451
20.394	439
20.444	431
20.494	426
20.544	424
20.595	427
20.645	432
20.696	440
20.746	451
20.796	464
20.846	479
20.897	496
20.947	511
20.997	527
21.047	540
21.097	551
21.147	560
21.198	565
21.248	567
21.298	565
21.348	560
21.398	553
21.449	542
21.499	528
21.550	513
21.600	498
21.650	482
21.700	468
21.751	454
21.801	443
21.851	433
21.901	428
21.951	427
22.001	428
22.052	432
22.102	439
22.152	450
22.202	464
22.252	477
22.303	493
22.353	510
22.403	523
22.454	538
22.504	548
22.554	557
22.605	562
22.655	566
22.705	564
22.755	560
22.805	553
22.855	542
22.906	529
22.956	515
23.006	500
23.056	485
23.106	470
23.157	456
23.207	445
23.257	435
23.307	430
23.358	427
23.408	428
23.459	432
23.509	439
23.559	449
23.609	462
23.659	476
23.710	491
23.760	507
23.810	521
23.860	533
23.910	546
23.960	555
24.011	561
24.061	564
24.111	565
24.161	559
24.211	553
24.262	542
24.313	530
24.363	517
24.413	503
24.463	488
24.513	473
24.564	460
24.614	448
24.664	438
24.714	432
24.764	429
24.814	429
24.865	432
24.915	439
24.965	449
25.015	460
25.065	473
25.115	488
25.167	504
25.217	518
25.267	532
25.317	543
25.367	552
25.418	559
25.468	562
25.518	563
25.568	560
25.618	553
25.668	545
25.719	533
25.769	519
25.819	504
25.869	490
25.919	476
25.969	462
26.020	450
26.071	441
26.121	434
26.171	430
26.221	430
26.272	433
