#Creator: pendulumdriveEventBuffer
#Creation time: Tue Apr  4 15:26:34 2017
#Time	Pos
#[s]	[au]
0.050	321
0.101	317
0.151	308
0.202	322
0.252	333
0.302	344
0.353	368
0.403	377
0.453	411
0.503	433
0.553	445
0.603	472
0.654	477
0.704	490
0.754	498
0.804	480
0.854	492
0.904	480
0.955	457
1.005	449
1.055	422
1.106	404
1.156	389
1.207	360
1.257	354
1.307	343
1.357	327
1.407	331
1.457	335
1.508	330
1.558	345
1.608	350
1.658	374
1.708	390
1.758	400
1.809	426
1.859	433
1.909	454
1.959	468
2.010	461
2.061	480
2.111	479
2.161	465
2.211	470
2.261	447
2.311	443
2.362	433
2.412	404
2.462	402
2.512	387
2.562	365
2.612	363
2.663	347
2.713	344
2.763	348
2.813	340
2.863	353
2.915	360
2.965	362
3.015	383
3.065	383
3.115	406
3.165	422
3.216	422
3.266	447
3.316	454
3.366	454
3.416	467
3.467	453
3.517	467
3.567	463
3.617	442
3.667	446
3.717	433
3.768	413
3.819	408
3.869	382
3.919	381
3.969	372
4.019	353
4.070	356
4.120	351
4.170	344
4.220	353
4.270	350
4.321	364
4.371	376
4.421	378
4.471	402
4.521	413
4.571	420
4.622	444
4.672	442
4.723	464
4.773	471
4.823	463
4.873	476
4.924	469
4.974	456
5.024	456
5.074	428
5.124	429
5.175	412
5.225	387
5.275	381
5.325	366
5.375	348
5.425	346
5.476	333
5.526	338
5.576	339
5.627	336
5.677	355
5.728	367
5.778	376
5.828	399
5.878	405
5.928	435
5.978	451
6.029	454
6.079	479
6.129	479
6.179	483
6.229	489
6.279	470
6.330	475
6.380	461
6.430	434
6.480	426
6.531	405
6.582	382
6.632	369
6.682	345
6.732	339
6.782	330
6.832	319
6.883	324
6.933	329
6.983	332
7.033	351
7.083	357
7.133	387
7.184	408
7.234	420
7.284	450
7.334	461
7.384	479
7.436	495
7.486	481
7.536	502
7.586	496
7.636	475
7.686	475
7.737	451
7.787	432
7.837	415
7.887	381
7.937	370
7.987	351
8.038	329
8.088	324
8.138	325
8.188	309
8.238	319
8.290	319
8.340	342
8.390	359
8.440	370
8.490	403
8.540	421
8.591	445
8.641	470
8.691	471
8.741	498
8.791	503
8.841	495
8.892	504
8.942	481
8.992	478
9.042	462
9.092	427
9.143	418
9.194	393
9.244	362
9.294	350
9.344	335
9.394	314
9.445	315
9.495	305
9.545	316
9.595	325
9.645	332
9.696	358
9.746	375
9.796	400
9.846	426
9.896	436
9.946	470
9.997	484
10.047	487
10.098	505
10.148	491
10.198	501
10.248	494
10.299	467
10.349	461
10.399	437
10.449	408
10.499	394
10.550	362
10.600	349
10.650	337
10.700	320
10.750	320
10.800	319
10.851	315
10.901	331
10.951	336
11.002	360
11.052	383
11.102	395
11.153	425
11.203	444
11.253	456
11.303	478
11.353	474
11.404	493
11.454	495
11.504	477
11.554	484
11.604	467
11.654	446
11.705	436
11.755	407
11.805	398
11.855	381
11.906	355
11.956	352
12.007	342
12.057	330
12.107	335
12.157	330
12.207	345
12.258	355
12.308	360
12.358	384
12.408	397
