#Creator: pendulumSimpleEventBuffer
#Creation time: Tue Mar  7 15:46:13 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.903444
1	1	0.942644
2	0	1.953892
3	1	1.993104
4	0	3.036392
5	1	3.075716
6	0	4.086856
7	1	4.126224
8	0	5.169184
9	1	5.208648
10	0	6.219372
11	1	6.258896
12	0	7.302424
13	1	7.342100
14	0	8.352296
15	1	8.392048
16	0	9.435324
17	1	9.475156
18	0	10.485628
19	1	10.525520
20	0	11.568500
21	1	11.608480
22	0	12.618752
23	1	12.658792
24	0	13.701440
25	1	13.741564
26	0	14.751580
27	1	14.791784
28	0	15.834476
29	1	15.874780
30	0	16.884564
31	1	16.924960
32	0	17.967696
33	1	18.008184
34	0	19.017624
35	1	19.058196
36	0	20.100416
37	1	20.141072
38	0	21.150372
39	1	21.191092
40	0	22.233316
41	1	22.274140
42	0	23.283208
43	1	23.324132
44	0	24.366192
45	1	24.407216
46	0	25.416136
47	1	25.457224
