#Creator: pendulumSimpleEventBuffer
#Creation time: Tue Mar  7 18:04:11 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.681924
1	1	0.783696
2	0	1.681088
3	1	1.782892
4	0	2.811852
5	1	2.913964
6	0	3.810740
7	1	3.912916
8	0	4.941732
9	1	5.044224
10	0	5.940360
11	1	6.042924
12	0	7.071548
13	1	7.174436
14	0	8.069968
15	1	8.172916
16	0	9.201480
17	1	9.304740
18	0	10.199672
19	1	10.303008
20	0	11.331292
21	1	11.434920
22	0	12.329356
23	1	12.433056
24	0	13.461144
25	1	13.565160
26	0	14.458940
27	1	14.563000
28	0	15.591024
29	1	15.695404
30	0	16.588592
31	1	16.693032
32	0	17.720848
33	1	17.825604
34	0	18.718224
35	1	18.823048
36	0	19.850660
37	1	19.955808
38	0	20.847760
39	1	20.952956
40	0	21.980560
41	1	22.086080
42	0	22.977312
43	1	23.082900
44	0	24.110428
45	1	24.216352
46	0	25.106852
47	1	25.212864
48	0	26.240276
49	1	26.346624
50	0	27.236376
51	1	27.342776
52	0	28.370108
53	1	28.476848
54	0	29.365956
55	1	29.472768
56	0	30.499972
57	1	30.607144
58	0	31.495564
59	1	31.602756
60	0	32.629804
61	1	32.737344
62	0	33.625076
63	1	33.732708
64	0	34.759656
65	1	34.867608
66	0	35.754656
67	1	35.862680
68	0	36.889472
69	1	36.997808
70	0	37.884236
71	1	37.992644
72	0	39.019224
73	1	39.127996
74	0	40.013772
75	1	40.122600
76	0	41.149096
77	1	41.258276
78	0	42.143284
79	1	42.252524
80	0	43.278840
81	1	43.388396
82	0	44.272808
83	1	44.382448
84	0	45.408596
85	1	45.518592
86	0	46.402312
87	1	46.512364
88	0	47.538428
89	1	47.648816
90	0	48.531580
91	1	48.642032
