#Creator: pendulumSimpleEventBuffer
#Creation time: Tue Mar  7 15:46:13 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.595724
1	1	0.667540
2	0	1.635828
3	1	1.707776
4	0	2.726256
5	1	2.798440
6	0	3.765968
7	1	3.838284
8	0	4.856532
9	1	4.929104
10	0	5.896588
11	1	5.969256
12	0	6.986924
13	1	7.059812
14	0	8.026928
15	1	8.099912
16	0	9.117120
17	1	9.190320
18	0	10.156988
19	1	10.230284
20	0	11.247244
21	1	11.320808
22	0	12.286328
23	1	12.359992
24	0	13.376964
25	1	13.450884
26	0	14.416108
27	1	14.490084
28	0	15.507020
29	1	15.581192
30	0	16.546548
31	1	16.620816
32	0	17.637880
33	1	17.712420
34	0	18.677124
35	1	18.751744
36	0	19.768368
37	1	19.843296
38	0	20.806452
39	1	20.881436
40	0	21.898324
41	1	21.973524
42	0	22.937428
43	1	23.012688
44	0	24.028544
45	1	24.104104
46	0	25.067516
47	1	25.143152
48	0	26.158636
49	1	26.234528
50	0	27.197864
51	1	27.273848
52	0	28.288436
53	1	28.364680
54	0	29.327812
55	1	29.404060
56	0	30.418764
57	1	30.495364
58	0	31.457156
59	1	31.533840
60	0	32.548860
61	1	32.625712
62	0	33.587944
63	1	33.664856
64	0	34.679456
65	1	34.756768
66	0	35.717832
67	1	35.795168
68	0	36.810036
69	1	36.887716
70	0	37.847708
71	1	37.925512
72	0	38.939804
73	1	39.017860
74	0	39.977476
75	1	40.055640
76	0	41.069660
77	1	41.148116
78	0	42.107396
79	1	42.185956
80	0	43.199616
81	1	43.278416
82	0	44.237224
83	1	44.316156
84	0	45.329444
85	1	45.408696
86	0	46.367208
87	1	46.446524
88	0	47.459136
89	1	47.538696
90	0	48.497164
91	1	48.576808
92	0	49.589276
93	1	49.669164
94	0	50.627268
95	1	50.707176
96	0	51.719796
97	1	51.800036
98	0	52.757036
99	1	52.837344
100	0	53.849544
101	1	53.930180
102	0	54.886696
103	1	54.967400
104	0	55.979412
105	1	56.060360
106	0	57.016196
107	1	57.097252
108	0	58.109000
109	1	58.190360
110	0	59.145388
111	1	59.226864
112	0	60.238364
113	1	60.320140
114	0	61.274380
115	1	61.356296
116	0	62.367400
117	1	62.449764
118	0	63.403812
119	1	63.486420
120	0	64.497940
121	1	64.580884
122	0	65.534424
123	1	65.617540
124	0	66.629420
125	1	66.712964
126	0	67.664768
127	1	67.748420
128	0	68.758492
129	1	68.842384
130	0	69.794996
131	1	69.879024
132	0	70.888592
133	1	70.972948
134	0	71.924860
135	1	72.009192
136	0	73.019152
137	1	73.103796
138	0	74.054924
139	1	74.139704
140	0	75.148940
141	1	75.233928
142	0	76.184708
143	1	76.269788
144	0	77.278844
145	1	77.364196
146	0	78.314508
147	1	78.399944
148	0	79.409140
149	1	79.494884
150	0	80.443988
151	1	80.529788
152	0	81.539076
153	1	81.625204
154	0	82.574132
155	1	82.660376
156	0	83.669072
157	1	83.755652
158	0	84.703888
159	1	84.790496
160	0	85.799416
161	1	85.886332
162	0	86.834632
163	1	86.921652
164	0	87.928984
165	1	88.016248
166	0	88.964800
167	1	89.052168
168	0	90.059180
169	1	90.146888
170	0	91.095024
171	1	91.182768
172	0	92.189532
173	1	92.277544
174	0	93.224904
175	1	93.312932
176	0	94.319836
177	1	94.408156
178	0	95.355172
179	1	95.443596
180	0	96.450240
181	1	96.539016
182	0	97.484248
183	1	97.572960
184	0	98.579708
185	1	98.668648
186	0	99.614840
187	1	99.703896
188	0	100.710488
189	1	100.799864
190	0	101.744984
191	1	101.834488
192	0	102.840396
193	1	102.930220
194	0	103.875028
195	1	103.964964
196	0	104.969884
197	1	105.060104
198	0	106.004556
199	1	106.094848
200	0	107.099956
201	1	107.190580
202	0	108.133592
203	1	108.224276
204	0	109.230220
205	1	109.321164
206	0	110.264008
207	1	110.354992
208	0	111.360012
209	1	111.451304
210	0	112.393792
211	1	112.485208
212	0	113.489852
213	1	113.581604
214	0	114.523212
215	1	114.615028
216	0	115.619524
217	1	115.711796
218	0	116.652224
219	1	116.744560
220	0	117.748708
221	1	117.841432
222	0	118.781740
223	1	118.874632
224	0	119.878700
225	1	119.971892
226	0	120.911560
227	1	121.004812
228	0	122.008412
229	1	122.101988
230	0	123.041144
231	1	123.134868
232	0	124.139188
233	1	124.233284
234	0	125.171612
235	1	125.265784
236	0	126.268500
237	1	126.363056
238	0	127.300516
239	1	127.395116
240	0	128.397752
241	1	128.492628
242	0	129.430620
243	1	129.525568
244	0	130.528340
245	1	130.623660
246	0	131.560628
247	1	131.656032
248	0	132.658276
249	1	132.753888
250	0	133.690928
251	1	133.786548
252	0	134.788428
253	1	134.884416
254	0	135.820736
255	1	135.916748
256	0	136.918244
257	1	137.014588
258	0	137.950420
259	1	138.046868
260	0	139.048112
261	1	139.144948
262	0	140.079976
263	1	140.176852
264	0	141.178180
265	1	141.275412
266	0	142.209624
267	1	142.306980
268	0	143.307492
269	1	143.405188
270	0	144.339096
271	1	144.436832
272	0	145.437296
273	1	145.535408
274	0	146.468512
275	1	146.566732
276	0	147.566820
277	1	147.665316
278	0	148.598364
279	1	148.696916
280	0	149.696524
281	1	149.795428
282	0	150.727688
283	1	150.826648
284	0	151.826376
285	1	151.925676
286	0	152.857420
287	1	152.956764
288	0	153.955864
289	1	154.055544
