#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
0.135714	2.933984
0.240540	3.067902
0.340834	3.201982
0.437052	3.333750
0.529570	3.463642
0.618686	3.591541
0.704696	3.718037
0.787862	3.842645
0.868416	3.961755
0.946624	4.077343
1.022708	4.185107
1.096904	4.287342
1.169368	4.385372
1.240258	4.481971
1.309656	4.573581
1.377728	4.660425
1.444544	4.744605
1.510208	4.825054
1.574808	4.906439
1.638334	4.983175
1.700906	5.059903
1.762564	5.133321
1.823290	5.212531
1.883098	5.292975
1.942004	5.375757
1.999980	5.461740
2.057052	5.547969
2.113260	5.634133
2.168646	5.712610
2.223278	5.789033
2.277214	5.862930
2.330478	5.934476
2.383114	6.002737
2.435168	6.070945
2.486632	6.136642
2.537574	6.200593
2.587982	6.263393
2.637878	6.327478
2.687300	6.392367
2.736202	6.453029
2.784642	6.518098
2.832636	6.577323
2.880156	6.642688
2.927218	6.708791
2.973820	6.775054
3.019962	6.841447
3.065646	6.911587
3.110884	6.981317
3.155680	7.044246
3.200080	7.109606
3.244092	7.167350
3.287746	7.226704
3.331038	7.285359
3.374002	7.342572
3.416612	7.400341
3.458912	7.456902
3.500886	7.511459
3.542568	7.562813
3.583952	7.622265
3.625022	7.675901
3.665804	7.729916
3.706316	7.782384
3.746530	7.840653
3.786452	7.897417
3.826086	7.957025
3.865428	8.013858
3.904486	8.071924
3.943270	8.131258
3.981780	8.184641
4.020036	8.240459
4.058048	8.290038
4.095832	8.340216
4.133384	8.389662
4.170726	8.439697
4.207832	8.490332
4.244736	8.539257
4.281416	8.587810
4.317896	8.635494
4.354180	8.686591
4.390244	8.732468
4.426116	8.782758
4.461802	8.827178
4.497282	8.880074
4.532558	8.930561
4.567640	8.981625
4.602514	9.033795
4.637190	9.085524
4.671672	9.139445
4.705964	9.182721
4.740090	9.230205
4.774046	9.273800
4.807842	9.318915
4.841474	9.361122
4.874960	9.405403
4.908276	9.450673
4.941444	9.496381
4.974448	9.539056
5.007308	9.580947
5.040026	9.629108
5.072572	9.672391
5.104972	9.719071
5.137236	9.759530
5.169344	9.807057
5.201302	9.853813
5.233108	9.901017
5.264764	9.948045
5.296272	9.992979
5.327638	10.040245
5.358864	10.081486
5.389964	10.123720
5.420936	10.162362
5.451792	10.201964
5.482528	10.238537
5.513154	10.279408
5.543650	10.320607
5.574034	10.362137
5.604290	10.401936
5.634434	10.441348
5.664464	10.487357
5.694360	10.525304
5.724146	10.569212
5.753822	10.606322
5.783378	10.650189
5.812814	10.694419
5.842132	10.739019
5.871328	10.780292
5.900410	10.824120
5.929380	10.867554
5.958244	10.900738
5.987016	10.938693
6.015690	10.972313
6.044278	11.007683
6.072772	11.040953
6.101184	11.076767
6.129494	11.113601
6.157716	11.152264
6.185838	11.188805
6.213868	11.225587
6.241808	11.268266
6.269642	11.302319
6.297388	11.341490
6.325050	11.376811
6.352610	11.418990
6.380074	11.458139
6.407448	11.497558
6.434724	11.536401
6.461910	11.574654
6.489006	11.616598
6.516016	11.646744
6.542952	11.680520
6.569812	11.710126
6.596606	11.742516
6.623324	11.771555
6.649976	11.805173
6.676542	11.841661
6.703038	11.876579
6.729448	11.911703
6.755784	11.944311
6.782048	11.985322
6.808220	12.018335
6.834316	12.057080
6.860344	12.087698
6.886286	12.129701
6.912146	12.166341
6.937930	12.204151
6.963634	12.239336
6.989262	12.276642
7.014818	12.313211
7.040300	12.343205
7.065724	12.371397
7.091088	12.400697
7.116394	12.429153
7.141638	12.457739
7.166828	12.488443
7.191946	12.521294
7.217006	12.555322
7.241994	12.587518
7.266916	12.620893
7.291776	12.661586
7.316552	12.692278
7.341268	12.729306
7.365924	12.758255
7.390508	12.796711
7.415024	12.832255
7.439474	12.867996
7.463852	12.903938
7.488168	12.935818
7.512422	12.973210
7.536614	12.997901
7.560760	13.025925
7.584852	13.051901
7.608898	13.080159
7.632890	13.105259
7.656840	13.133749
7.680724	13.166776
7.704562	13.196642
7.728334	13.229987
7.752052	13.259022
7.775718	13.299435
7.799308	13.328777
7.822846	13.365067
7.846332	13.393557
7.869752	13.430201
7.893114	13.464738
7.916418	13.498293
7.939664	13.530850
7.962852	13.564735
7.985986	13.598791
8.009070	13.620015
8.032114	13.646046
8.055116	13.669797
8.078078	13.694824
8.100996	13.717547
8.123876	13.747561
8.146698	13.777707
8.169480	13.806771
8.192204	13.839615
8.214880	13.867717
8.237508	13.907006
8.260072	13.934146
8.282588	13.970085
8.305058	13.996225
8.327474	14.032485
8.349834	14.066413
8.372142	14.100506
8.394398	14.129678
8.416606	14.162802
8.438764	14.197364
8.460876	14.216638
8.482960	14.238545
8.505018	14.246294
8.527072	14.248878
8.549126	14.239836
8.571212	14.217925
8.593330	14.184543
8.615516	14.144947
8.637752	14.105570
8.660052	14.067673
8.682404	14.047544
8.704788	14.017458
8.727222	13.991238
8.749712	13.952712
8.772252	13.919329
8.794858	13.876293
8.817528	13.839615
8.840258	13.801918
8.863046	13.769253
8.885886	13.741548
8.908782	13.701992
8.931744	13.662663
8.954780	13.615293
8.977894	13.569422
9.001086	13.518041
9.024366	13.473978
9.047706	13.441694
9.071110	13.407275
9.094568	13.375309
9.118088	13.337831
9.141678	13.306195
9.165322	13.261261
9.189046	13.223304
9.212848	13.180033
9.236706	13.149141
9.260626	13.119488
9.284604	13.086698
9.308642	13.050817
9.332752	13.009743
9.356940	12.971068
9.381204	12.921984
9.405558	12.879603
9.429990	12.834352
9.454508	12.794627
9.479102	12.751005
9.503786	12.707680
9.528544	12.664648
9.553398	12.621907
9.578324	12.580461
9.603334	12.540287
9.628424	12.509328
9.653574	12.469606
9.678806	12.432104
9.704128	12.385053
9.729530	12.348057
9.755010	12.308387
9.780576	12.270888
9.806216	12.233616
9.831936	12.194677
9.857744	12.155044
9.883642	12.105397
9.909648	12.058005
9.935752	12.009146
9.961962	11.964326
9.988270	11.917126
10.014686	11.872091
10.041192	11.829176
10.067804	11.783034
10.094516	11.738128
10.121328	11.693563
10.148244	11.656251
10.175246	11.609729
10.202352	11.568687
10.229574	11.518636
10.256890	11.479073
10.284308	11.437282
10.311828	11.394968
10.339450	11.352145
10.367176	11.309643
10.395008	11.267458
10.422956	11.214367
10.451032	11.166534
10.479228	11.115960
10.507556	11.066622
10.536008	11.013857
10.564600	10.965419
10.593306	10.917406
10.622152	10.869811
10.651116	10.819647
10.680216	10.771421
10.709452	10.726552
10.738804	10.674797
10.768296	10.629289
10.797936	10.574193
10.827706	10.528831
10.857610	10.481758
10.887654	10.433719
10.917832	10.385430
10.948150	10.338267
10.978612	10.290182
11.009222	10.237202
11.039992	10.183445
11.070924	10.129595
11.102024	10.075020
11.133290	10.018473
11.164740	9.963821
11.196346	9.911638
11.228132	9.858761
11.260088	9.802773
11.292224	9.746813
11.324552	9.695077
11.357046	9.637970
11.389730	9.585040
11.422618	9.524596
11.455686	9.474043
11.488938	9.420633
11.522386	9.366704
11.556022	9.312286
11.589852	9.259587
11.623880	9.208021
11.658108	9.148493
11.692562	9.090257
11.727236	9.030160
11.762144	8.970341
11.797284	8.908781
11.832676	8.847065
11.868300	8.788163
11.904184	8.724707
11.940318	8.662639
11.976718	8.598152
12.013396	8.538329
12.050328	8.471101
12.087554	8.408074
12.125078	8.339331
12.162884	8.278678
12.200978	8.215462
12.239366	8.153204
12.278044	8.091049
12.317020	8.029835
12.356298	7.968731
12.395890	7.902185
12.435814	7.836350
12.476086	7.766991
12.516716	7.698472
12.557712	7.627076
12.599104	7.555901
12.640876	7.483903
12.683074	7.409417
12.725690	7.334001
12.768754	7.256081
12.812292	7.180783
12.856284	7.099965
12.900776	7.022202
12.945788	6.940292
12.991304	6.863569
13.037336	6.785884
13.083900	6.709651
13.130986	6.633711
13.178620	6.558101
13.226804	6.483660
13.275564	6.403311
13.324940	6.324166
13.374952	6.240500
13.425652	6.154917
13.477068	6.065787
13.529268	5.974881
13.582256	5.882471
13.636126	5.785835
13.690892	5.687376
13.746642	5.585054
13.803438	5.483284
13.861308	5.374654
13.920360	5.267593
13.980668	5.155392
14.042256	5.047546
14.105184	4.938990
14.169516	4.830990
14.235288	4.723489
14.302580	4.615916
14.371474	4.508341
14.442068	4.395311
14.514544	4.279050
14.589078	4.155766
14.665918	4.027167
14.745320	3.891481
14.827654	3.748380
14.913290	3.596392
15.002816	3.433134
15.096838	3.260131
15.196242	3.074567
15.302126	2.877443
15.415922	2.663495
15.539804	2.433532
15.677030	2.179966
15.832852	1.898909
16.017730	1.573282
16.260472	1.163665
16.747070	0.540298
17.205930	0.503764
17.723222	1.038275
17.995198	1.404717
18.202052	1.699132
18.375972	1.956062
18.528612	2.192166
18.665814	2.411342
18.791202	2.618780
18.907282	2.812275
19.015712	2.996273
19.117816	3.169037
19.214632	3.332265
19.306896	3.485778
19.395322	3.629298
19.480380	3.763919
19.562538	3.889939
19.642144	4.008565
19.719528	4.116666
19.794942	4.218488
19.868624	4.312768
19.940716	4.405049
20.011308	4.496855
20.080486	4.588008
20.148276	4.681956
20.214710	4.775909
20.279840	4.875070
20.343652	4.972291
20.406206	5.072321
20.467584	5.169134
20.527792	5.268123
20.586890	5.364742
20.644956	5.459841
20.702014	5.552283
20.758164	5.641620
20.813422	5.729697
20.867874	5.812167
20.921560	5.892843
20.974558	5.966031
21.026908	6.036881
21.078680	6.102313
21.129896	6.166031
21.180582	6.229858
21.230756	6.294515
21.280406	6.360529
21.329538	6.426365
21.378164	6.498413
21.426246	6.568247
21.473800	6.642968
21.520862	6.712518
