#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 15:36:10 2017
#Time	Angular velocity
#[s]	[rad/s]
0.148116	2.175016
0.292648	2.172459
0.437476	2.167243
0.582860	2.156058
0.729160	2.140079
0.876858	2.116463
1.026532	2.083948
1.178612	2.048081
1.333506	2.010053
1.491392	1.970268
1.652546	1.929441
1.817186	1.888771
1.985326	1.847887
2.157094	1.809944
2.332370	1.774871
2.510660	1.747504
2.691392	1.727156
2.873802	1.715405
3.057018	1.712077
3.240286	1.714731
3.422988	1.723479
3.604758	1.733369
3.785704	1.740456
3.966316	1.740340
4.147488	1.730848
4.330134	1.711033
4.515392	1.683507
4.704010	1.649095
4.896862	1.611123
5.094634	1.568287
5.298378	1.518411
5.509236	1.464926
5.727986	1.409001
5.955372	1.355397
6.191500	1.306026
6.435504	1.267037
6.685828	1.240226
6.940330	1.226045
7.196734	1.221972
