#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
0.044804	8.118650
0.083522	8.109010
0.122270	8.106917
0.161046	8.096888
0.199870	8.089383
0.238704	8.086051
0.277586	8.075658
0.316500	8.069850
0.355448	8.064464
0.394416	8.055366
0.433426	8.053301
0.472438	8.051237
0.511468	8.047525
0.550510	8.046288
0.589550	8.047112
0.628602	8.043404
0.667668	8.039699
0.706758	8.034764
0.745870	8.029014
0.785024	8.019996
0.824206	8.015085
0.863422	8.006506
0.902670	8.003242
0.941946	7.993874
0.981270	7.986152
1.020606	7.982906
1.059992	7.972776
1.099410	7.966307
1.138864	7.960654
1.178342	7.951386
1.217862	7.948972
1.257388	7.946157
1.296934	7.942943
1.336488	7.942139
1.376040	7.942541
1.415606	7.939329
1.455184	7.935720
1.494786	7.930911
1.534412	7.924510
1.574080	7.916522
1.613776	7.911339
1.653506	7.902185
1.693272	7.899800
1.733064	7.889484
1.772910	7.881567
1.812766	7.878800
1.852676	7.867356
1.892622	7.861450
1.932602	7.855553
1.972606	7.846527
2.012656	7.844568
2.052710	7.841435
2.092782	7.837914
2.132868	7.836350
2.172956	7.836741
2.213056	7.833614
2.253166	7.830100
2.293304	7.824639
2.333468	7.819186
2.373670	7.811409
2.413900	7.805587
2.454168	7.797063
2.494474	7.793195
2.534808	7.784312
2.575192	7.776219
2.615592	7.772372
2.656044	7.762002
2.696536	7.755487
2.737062	7.748983
2.777622	7.739438
2.818224	7.736770
2.858834	7.734484
2.899468	7.728775
2.940116	7.728395
2.980762	7.729536
3.021416	7.726875
3.062082	7.723076
3.102778	7.717763
3.143502	7.710565
3.184278	7.699982
3.225102	7.690934
3.265984	7.677401
3.306924	7.670278
3.347908	7.659806
3.388950	7.651224
3.430010	7.647871
3.471124	7.635975
3.512284	7.629669
3.553484	7.621895
3.594722	7.611185
3.636008	7.608604
3.677306	7.605289
3.718624	7.601608
3.759956	7.600137
3.801286	7.600873
3.842632	7.597931
3.883986	7.594625
3.925368	7.589855
3.966772	7.584724
4.008222	7.575944
4.049700	7.570832
4.091220	7.561721
4.132772	7.559901
4.174354	7.551179
4.215982	7.543564
4.257632	7.539581
4.299336	7.528018
4.341096	7.518650
4.382916	7.507510
4.424784	7.494972
4.466718	7.490326
4.508664	7.487113
4.550638	7.482833
4.592624	7.482120
4.634608	7.482833
4.676608	7.478558
4.718622	7.475355
4.760666	7.470022
4.802732	7.465762
4.844836	7.458672
4.889436	6.990016
4.959850	4.036688
5.058006	2.460482
5.289786	1.147513
5.627446	0.663921
6.106110	0.654003
