#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 15:36:10 2017
#Time	Angular velocity
#[s]	[rad/s]
0.020296	13.189994
0.044124	13.182245
0.067950	13.186672
0.091772	13.187779
0.115598	13.186672
0.139420	13.185565
0.163246	13.185565
0.187078	13.183351
0.210912	13.175611
0.234766	13.167879
0.258634	13.156850
0.282518	13.150241
0.306416	13.138143
0.330336	13.132651
0.354256	13.130455
0.378190	13.124969
0.402126	13.122776
0.426066	13.118393
0.450020	13.121680
0.473960	13.118393
0.497906	13.117297
0.521868	13.111822
0.545820	13.115107
0.569776	13.114012
0.593732	13.115107
0.617686	13.112917
0.641644	13.114012
0.665602	13.112917
0.689570	13.103072
0.713552	13.097610
0.737548	13.085608
0.761566	13.075804
0.785596	13.069276
0.809642	13.061669
0.833692	13.059497
0.857758	13.054071
0.881822	13.051901
0.905896	13.046481
0.929978	13.050817
0.954050	13.046481
0.978128	13.046481
1.002218	13.039983
1.026304	13.044314
1.050388	13.044314
1.074474	13.044314
1.098556	13.043231
1.122644	13.041065
1.146736	13.041065
1.170834	13.033491
1.194946	13.024845
1.219076	13.015132
1.243222	13.007588
1.267380	12.996825
1.291560	12.991451
1.315740	12.988228
1.339938	12.982861
1.364134	12.980715
1.388338	12.976426
1.412552	12.980715
1.436754	12.974282
1.460966	12.975354
1.485190	12.968926
1.509406	12.972139
1.533624	12.973210
1.557842	12.972139
1.582058	12.972139
1.606278	12.971068
1.630500	12.969997
1.654732	12.960366
1.678978	12.955021
1.703238	12.943279
1.727518	12.935818
1.751810	12.926237
1.776122	12.920921
1.800436	12.916671
1.824766	12.911362
1.849098	12.909240
1.873436	12.903938
1.897784	12.909240
1.922122	12.902878
1.946466	12.904998
1.970824	12.896522
1.995174	12.901818
2.019526	12.899699
2.043882	12.900758
2.068232	12.899699
2.092588	12.898640
2.116946	12.897580
2.141312	12.890172
2.165692	12.882771
2.190086	12.873269
2.214500	12.863781
2.238928	12.854307
2.263378	12.847999
2.287826	12.845897
2.312292	12.839597
2.336758	12.839597
2.361230	12.832255
2.385716	12.836450
2.410190	12.831207
2.434670	12.832255
2.459164	12.825968
2.483652	12.829111
2.508140	12.828063
2.532632	12.829111
2.557118	12.828063
2.581608	12.828063
2.606102	12.827016
2.630604	12.817595
2.655118	12.811323
2.679652	12.800883
2.704202	12.792543
2.728766	12.783173
2.753350	12.777974
2.777936	12.773817
2.802538	12.769664
2.827140	12.765513
2.851752	12.762401
2.876370	12.765513
2.900982	12.760328
2.925600	12.761364
2.950228	12.754111
2.974854	12.758255
2.999478	12.757219
3.024108	12.756183
3.048732	12.757219
3.073360	12.755147
3.097994	12.755147
3.122630	12.746866
3.147286	12.738596
3.171956	12.729306
3.196646	12.721059
3.221346	12.711794
3.246072	12.704597
3.270796	12.702542
3.295538	12.697408
3.320280	12.694329
3.345030	12.689202
3.369792	12.693304
3.394542	12.687152
3.419302	12.689202
3.444070	12.682031
3.468838	12.684079
3.493604	12.685103
3.518374	12.684079
3.543140	12.683055
3.567910	12.683055
3.592684	12.682031
3.617464	12.673845
3.642260	12.666691
3.667070	12.657505
3.691900	12.648332
3.716746	12.638155
3.741610	12.634089
3.766476	12.629011
3.791362	12.623936
3.816246	12.621907
3.841140	12.616838
3.866042	12.620893
3.890936	12.614811
3.915836	12.616838
3.940750	12.607724
3.965660	12.612786
3.990568	12.611773
4.015482	12.610760
4.040390	12.611773
4.065302	12.609748
4.090220	12.608736
4.115144	12.600644
4.140084	12.593573
4.165038	12.584492
4.190012	12.574418
4.215004	12.566371
