#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
0.275814	1.431941
0.484932	1.591486
0.674040	1.746299
0.847168	1.897303
1.007262	2.038910
1.156876	2.172038
1.297786	2.295815
1.431504	2.411157
1.559158	2.517947
1.681750	2.613029
1.800126	2.700262
1.914876	2.778990
2.026610	2.849104
2.135790	2.908720
2.242854	2.962537
2.348042	3.011438
2.451500	3.062399
2.553230	3.114620
2.653196	3.169868
2.751370	3.230828
2.847582	3.298745
2.941846	3.368061
3.034136	3.440730
3.124456	3.518100
3.212818	3.592362
3.299382	3.668885
3.384156	3.744538
3.467280	3.816410
3.548860	3.887725
3.629018	3.952484
3.707914	4.014404
3.785632	4.071425
3.862348	4.121960
3.938180	4.164911
4.013268	4.204712
4.087664	4.240582
4.161426	4.278234
4.234530	4.316798
4.306964	4.356667
4.378720	4.400113
4.449694	4.450604
4.519884	4.501623
4.589262	4.555145
4.657796	4.613883
4.725464	4.669708
4.792332	4.728608
4.858364	4.787699
4.923620	4.842159
4.988136	4.898024
5.051952	4.948325
5.115130	4.999034
5.177698	5.044142
5.239734	5.085952
5.301294	5.121271
5.362454	5.154377
5.423236	5.182436
5.483680	5.212358
5.543766	5.244904
5.603460	5.279455
5.662772	5.315364
5.721636	5.356327
5.780072	5.396627
5.838052	5.439611
5.895554	5.488649
5.952542	5.534091
6.009072	5.582672
6.065096	5.632921
6.120650	5.677919
6.175758	5.724894
6.230434	5.766930
6.284714	5.810232
6.338604	5.849176
6.392154	5.885998
6.445386	5.917708
6.498348	5.947733
6.551056	5.972610
6.603546	5.997924
6.655804	6.025765
6.707816	6.053398
6.759604	6.081287
6.811106	6.114903
6.862348	6.147931
6.913296	6.183751
6.963938	6.224920
7.014242	6.262394
7.064250	6.303609
7.113914	6.347678
7.163262	6.385610
7.212296	6.428995
7.261018	6.466577
7.309456	6.507027
7.357602	6.542804
7.405498	6.577599
7.453158	6.605535
7.500626	6.633711
7.547902	6.655917
7.595022	6.678840
7.641970	6.704496
7.688736	6.729773
7.735338	6.755242
7.781724	6.786470
7.827916	6.816509
7.873892	6.849502
7.919640	6.886437
7.965138	6.919808
8.010420	6.957507
8.055446	6.997489
8.100234	7.031632
8.144794	7.069609
8.189124	7.103176
8.233248	7.139010
8.277150	7.171604
8.320866	7.203835
8.364396	7.229697
8.407776	7.256081
8.451016	7.274900
8.494140	7.295510
8.537138	7.317261
8.580006	7.339141
8.622754	7.360463
8.665340	7.389896
8.707776	7.417114
8.750046	7.447709
8.792138	7.481051
8.834040	7.509664
8.875784	7.543926
8.917328	7.580332
8.958692	7.610447
8.999872	7.647499
9.040870	7.677777
9.081700	7.712079
9.122352	7.743635
9.162854	7.771987
9.203212	7.796289
9.243450	7.820354
9.283574	7.838305
9.323608	7.857124
9.363538	7.878405
9.403364	7.897417
9.443102	7.916522
9.482708	7.942943
9.522208	7.965903
9.561578	7.992248
9.600812	8.024502
9.639892	8.049174
9.678852	8.079812
9.717644	8.116552
9.756290	8.143905
9.794788	8.175695
9.833142	8.206020
9.871356	8.238730
9.909422	8.265609
9.947364	8.296167
9.985180	8.319015
10.022898	8.341545
10.060522	8.357078
10.098074	8.375794
10.135544	8.393696
10.172932	8.410325
10.210252	8.427923
10.247464	8.452412
10.284588	8.473843
10.321606	8.498141
10.358516	8.528130
10.395298	8.549482
10.431986	8.577962
10.468542	8.610406
10.504976	8.635494
10.541290	8.665984
10.577484	8.693803
10.613560	8.724223
10.649514	8.750954
10.685360	8.778341
10.721098	8.801952
10.756752	8.824203
10.792324	8.838105
10.827836	8.855544
10.863278	8.873052
10.898654	8.887108
10.933978	8.902218
10.969212	8.925993
11.004372	8.945819
11.039446	8.967780
11.074428	8.995512
11.109302	9.016683
11.144098	9.043157
11.178782	9.071882
11.213366	9.096047
11.247848	9.125639
11.282224	9.151691
11.316500	9.181111
11.350666	9.208021
11.384736	9.235089
11.418714	9.256859
11.452618	9.278183
11.486452	9.291354
11.520236	9.306768
11.553966	9.323340
11.587630	9.337750
11.621256	9.351648
11.654800	9.374530
11.688282	9.393030
11.721692	9.412730
11.755028	9.438180
11.788268	9.458070
11.821446	9.482622
11.854526	9.510755
11.887520	9.533845
11.920422	9.561702
11.953236	9.586795
11.985958	9.614962
12.018588	9.640336
12.051136	9.666439
12.083594	9.689694
12.115988	9.710060
12.148318	9.723283
12.180606	9.737146
12.212844	9.753470
12.245030	9.766812
12.277182	9.778364
12.309266	9.799715
12.341296	9.818091
12.373262	9.837767
12.405162	9.861855
12.436982	9.878601
12.468750	9.901641
12.500432	9.930436
12.532036	9.951196
12.563564	9.977111
12.595012	10.001887
12.626382	10.029347
12.657662	10.055027
12.688872	10.080192
12.720004	10.100935
12.751076	10.122415
12.782094	10.134170
12.813072	10.149230
12.844006	10.163020
12.874894	10.176847
12.905752	10.188068
12.936550	10.208594
12.967302	10.224542
12.998002	10.241875
13.028642	10.265972
13.059212	10.283446
13.089732	10.305034
13.120182	10.330109
13.150582	10.340990
13.180950	10.351894
13.211302	10.349165
13.241674	10.342351
13.272070	10.328750
13.302524	10.306386
13.333046	10.278063
13.363660	10.249226
13.394362	10.213904
13.425174	10.179485
13.456090	10.145297
13.487112	10.106784
13.518256	10.071144
13.549484	10.044097
13.580812	10.013363
13.612238	9.980915
13.643756	9.956242
13.675352	9.924789
13.707050	9.899145
13.738820	9.877980
13.770672	9.848253
13.802608	9.826075
13.834618	9.801550
13.866708	9.780190
13.898870	9.754681
13.931120	9.730511
13.963450	9.702263
13.995884	9.672987
14.028424	9.636196
14.061090	9.599098
14.093878	9.564030
14.126788	9.527484
14.159832	9.489496
14.192984	9.458640
14.226260	9.425721
14.259642	9.394715
14.293132	9.369498
14.326716	9.334975
14.360420	9.308974
14.394208	9.285861
14.428096	9.256859
14.462078	9.232375
14.496156	9.204784
14.530332	9.180575
14.564598	9.156493
14.598962	9.128822
14.633436	9.096047
14.668040	9.064553
14.702772	9.024972
14.737662	8.985735
14.772696	8.947347
14.807884	8.908781
14.843230	8.870045
14.878704	8.837607
14.914326	8.801952
14.950082	8.770499
14.985966	8.741701
15.021964	8.707297
15.058108	8.678912
15.094354	8.654525
15.130722	8.624115
15.167206	8.597210
15.203810	8.567668
15.240536	8.542043
15.277376	8.512417
15.314354	8.481622
15.351464	8.448321
15.388736	8.412577
15.426174	8.369546
15.463804	8.328277
15.501622	8.286976
15.539628	8.244352
15.577836	8.202592
15.616212	8.166344
15.654772	8.129153
15.693500	8.093968
15.732394	8.063222
15.771432	8.027373
15.810650	7.995909
15.850006	7.968327
15.889518	7.934918
15.929184	7.905764
15.969000	7.873666
16.008982	7.843001
16.049118	7.811021
16.089434	7.776219
16.129936	7.736770
16.170654	7.696586
16.211596	7.649361
16.252794	7.603080
16.294238	7.557719
16.335930	7.512178
16.377884	7.466472
16.420060	7.427284
16.462476	7.387116
16.505116	7.348067
16.547972	7.314535
16.591024	7.275911
16.634310	7.242030
16.677780	7.211111
16.721462	7.174552
16.765352	7.141282
16.809456	7.104461
16.853794	7.068336
16.898356	7.031317
16.943170	6.991260
16.988252	6.945816
17.033642	6.899444
17.079352	6.846517
17.125418	6.793808
17.171836	6.742773
17.218608	6.690218
17.265752	6.639318
17.313216	6.594997
17.361018	6.550170
17.409138	6.507027
17.457566	6.468974
17.506280	6.425839
17.555322	6.387688
17.604642	6.351785
17.654266	6.310700
17.704200	6.272898
